#SVE points (r, sigmaR, sigmaZ, sigmaPhi, sigmaMajRestored)
15.0  212.870471158  106.435235579  176.226669228  134.921820186
29.0  149.379880356  74.689940178  117.229186579  91.6540399903
29.1  148.999659382  74.4998296912  116.893944657  91.4037645216
29.2  148.621466822  74.3107334112  116.560593287  91.1548756554
29.3  148.245309926  74.122654963  116.229135495  90.9073765488
29.4  147.871195507  73.9355977535  115.899573969  90.6612700951
29.5  147.499129944  73.7495649719  115.571911063  90.4165589241
29.6  147.12911918  73.5645595899  115.246148796  90.1732454031
29.7  146.761168724  73.3805843622  114.922288855  89.9313316374
29.8  146.395283654  73.1976418269  114.600332596  89.690819471
29.9  146.031468612  73.0157343061  114.280281044  89.4517104878
30.0  145.669727813  72.8348639063  113.962134894  89.2140060122
30.0  145.669727813  72.8348639063  113.962134894  89.2140060122
30.1  145.310065038  72.6550325189  113.645894515  88.97770711
30.2  144.952483642  72.4762418212  113.33155995  88.7428145898
30.3  144.596986554  72.2984932769  113.019130916  88.5093290037
30.4  144.243576274  72.1217881368  112.708606808  88.2772506484
30.5  143.892254879  71.9461274394  112.399986702  88.0465795666
30.6  143.543024024  71.7715120122  112.093269351  87.8173155481
30.7  143.195884944  71.5979424721  111.788453193  87.5894581312
30.8  142.850838453  71.4254192267  111.485536349  87.3630066036
30.9  142.50788495  71.253942475  111.184516627  87.1379600045
31.0  142.167024417  71.0835122084  110.885391523  86.9143171253
31.1  141.828256424  70.9141282121  110.588158224  86.6920765115
31.2  141.491580131  70.7457900656  110.292813609  86.4712364642
31.3  141.156994289  70.5784971443  109.999354251  86.2517950415
31.4  140.824497242  70.4122486208  109.707776421  86.0337500603
31.5  140.494086931  70.2470434654  109.418076089  85.8170990977
31.6  140.165760897  70.0828804483  109.130248927  85.6018394933
31.7  139.83951628  69.9197581401  108.84429031  85.3879683503
31.8  139.515349827  69.7576749136  108.56019532  85.1754825375
31.9  139.19325789  69.5966289451  108.27795875  84.9643786916
32.0  138.873236431  69.4366182157  107.997575101  84.7546532185
32.1  138.555281026  69.277640513  107.719038591  84.5463022956
32.2  138.239386864  69.1196934322  107.442343155  84.3393218735
32.3  137.925548756  68.9627743781  107.167482446  84.1337076785
32.4  137.613761133  68.8068805663  106.89444984  83.9294552142
32.5  137.30401805  68.6520090252  106.62323844  83.7265597638
32.6  136.996313194  68.4981565971  106.353841076  83.5250163924
32.7  136.690639881  68.3453199405  106.086250308  83.3248199489
32.8  136.386991063  68.1934955313  105.820458433  83.1259650685
32.9  136.08535933  68.0426796648  105.556457483  82.9284461747
33.0  135.785736916  67.8928684578  105.294239232  82.732257482
33.1  135.488115699  67.7440578495  105.033795194  82.5373929977
33.2  135.192487209  67.5962436045  104.775116635  82.3438465249
33.3  134.898842627  67.4494213137  104.518194565  82.1516116645
33.4  134.607172794  67.3035863969  104.263019752  81.9606818177
33.5  134.317468209  67.1587341044  104.009582716  81.7710501886
33.6  134.029719038  67.0148595191  103.757873741  81.5827097866
33.7  133.743915117  66.8719575584  103.507882869  81.3956534294
33.8  133.460045953  66.7300229765  103.259599913  81.2098737446
33.9  133.178100732  66.5890503661  103.013014454  81.0253631735
34.0  132.898068322  66.4490341608  102.768115844  80.8421139729
34.1  132.619937274  66.309968637  102.524893217  80.6601182181
34.2  132.343695833  66.1718479163  102.283335483  80.4793678057
34.3  132.069331935  66.0346659675  102.043431336  80.2998544559
34.4  131.796833218  65.8984166089  101.805169261  80.121569716
34.5  131.52618702  65.7630935102  101.568537532  79.9445049624
34.6  131.257380391  65.6286901954  101.333524216  79.7686514039
34.7  130.990400089  65.4952000445  101.100117182  79.5940000846
34.8  130.725232592  65.3626162959  100.8683041  79.4205418864
34.9  130.461864098  65.2309320492  100.638072444  79.2482675321
35.0  130.200280534  65.1001402668  100.409409501  79.0771675882
35.1  129.940467554  64.9702337768  100.18230237  78.9072324683
35.2  129.68241055  64.8412052752  99.9567379673  78.7384524353
35.3  129.426094657  64.7130473285  99.732703031  78.5708176051
35.4  129.171504751  64.5857523756  99.5101841241  78.4043179489
35.5  128.918625462  64.4593127311  99.2891676388  78.238943297
35.6  128.667441174  64.3337205869  99.0696398003  78.0746833412
35.7  128.41793603  64.2089680151  98.8515866705  77.9115276383
35.8  128.170093942  64.0850469708  98.6349941525  77.7494656126
35.9  127.923898588  63.9619492939  98.419847994  77.5884865598
36.0  127.679333424  63.8396667122  98.2061337918  77.4285796494
36.1  127.436381687  63.7181908437  97.9938369952  77.2697339281
36.2  127.195026399  63.5975131994  97.7829429108  77.1119383232
36.3  126.955250371  63.4776251854  97.5734367057  76.9551816452
36.4  126.717036212  63.3585181061  97.3653034124  76.7994525913
36.5  126.480366333  63.2401831664  97.1585279319  76.6447397486
36.6  126.245222949  63.1226114743  96.9530950389  76.4910315972
36.7  126.011588088  63.0057940438  96.7489893847  76.3383165134
36.8  125.779443595  62.8897217973  96.5461955022  76.1865827728
36.9  125.548771137  62.7743855684  96.3446978098  76.0358185539
37.0  125.319552209  62.6597761044  96.144480615  75.8860119407
37.1  125.091768138  62.5458840691  95.9455281192  75.7371509267
37.2  124.865400091  62.4327000456  95.7478244215  75.5892234175
37.3  124.640429077  62.3202145384  95.5513535227  75.4422172341
37.4  124.416835954  62.2084179769  95.3560993297  75.2961201168
37.5  124.194601435  62.0973007176  95.1620456595  75.1509197275
37.6  123.973706094  61.9868530468  94.9691762433  75.0066036539
37.7  123.754130367  61.8770651834  94.7774747308  74.8631594119
37.8  123.535854564  61.7679272819  94.5869246941  74.7205744496
