# R, arcsec     1/Q
0, 0.02247191011235916
1.8160651920838178, 0.03523825718434015
3.6554132712456338, 0.11543995500385851
5.448195576251454, 0.16189454683391968
7.264260768335271, 0.2533125792991582
9.057043073341093, 0.39527278910674823
10.873108265424912, 0.5147807092124363
12.66589057043073, 0.5106735032896887
14.481955762514549, 0.4054623222717817
16.321303841676368, 0.2946527841362441
18.114086146682187, 0.19503996023596848
19.930151338766006, 0.11791866685851016
21.74621653084982, 0.06888726112150234
