# UGC 3546 = NGC 2273
# N08
# PA = deg
# inclination = 55 deg (adopted by N08)
# reff   sig  ds
# "    major
  1.8  121.0  2.6
  4.1  114.1  2.8
 12.0  103.5  4.2
 20.7   41.6  1.9
 29.1   34.6  2.1
 53.4   26.7  5.4
