# R/R25       V,km/s
0.1474956955259169, 80.14705882352942
0.09570066558733592, 152.2058823529412
0.19815999794413186, 178.6764705882353
0.2612655153804643, 201.1029411764706
0.3059581630817464, 216.1764705882353
0.35856911571968253, 237.50000000000003
0.4111447331226069, 254.7794117647059
0.46104772184103016, 266.1764705882353
0.5082845064631359, 272.4264705882353
0.5606705985146351, 268.0147058823529
0.6078302880785343, 265.44117647058823
0.6654170842648987, 256.25
0.7178609976100533, 258.4558823529412
0.7676419191529823, 255.8823529411765
0.8200376480867576, 252.57352941176472
0.8698988769819854, 259.19117647058823
0.9197022845835582, 259.19117647058823
0.97207552745869, 253.30882352941177
1.0165882866908236, 247.79411764705884
1.0689775910364148, 243.75
