# R, srcsec    Sigma_HI
60.0297176820208, 1.2529049150441698
75.48291233283804, 1.697591193520708
89.15304606240711, 2.1485093489781346
104.60624071322435, 2.768469492869384
120.05943536404159, 3.4322481031143104
134.32392273402672, 3.8769157789729958
148.58841010401187, 4.0461530948942785
164.6359583952452, 3.864870583912921
179.4947994056464, 3.282943492222943
194.35364041604754, 2.6697174959946235
209.21248142644873, 2.2505447079040195
223.47696879643388, 2.0066364839191992
238.93016344725112, 1.900462042520934
254.38335809806836, 2.06971796106007
270.43090638930164, 2.53319288356854
284.1010401188707, 3.0091501626566397
298.95988112927193, 3.084500066271826
313.8187221396731, 2.7529642108885772
329.27191679049037, 2.2774626959378854
344.13075780089156, 1.7831725369552633
359.5839524517088, 1.3827883928965905
373.8484398216939, 1.0825421407427558
