# R, kpc      Sigma
0.6736842105263161, 1.266643492121979
1.9368421052631568, 0.662180785054984
3.284210526315789, 1.205629518992704
4.463157894736842, 0.9553539059276238
5.81052631578947, 1.0385158822526657
7.242105263157892, 2.0209696008006794
8.505263157894735, 2.0898962841696296
9.599999999999994, 2.055881954938039
10.863157894736837, 2.5529534512521943
12.547368421052624, 3.2777551885954455
13.557894736842101, 4.00288381255175
14.989473684210523, 4.351404428025702
16.42105263157894, 4.652222535333374
17.684210526315784, 5.141941929481801
19.031578947368413, 5.229670091128142
20.463157894736835, 5.060025702439689
21.557894736842098, 4.145208641820831
22.736842105263147, 3.3958435422577695
24.16842105263157, 2.6466436264196576
25.515789473684205, 2.2416242864258
26.77894736842104, 2.8303033043275034
28.126315789473676, 3.02591276891367
29.305263157894725, 2.562763611393046
30.568421052631567, 2.563436917952297
31.99999999999999, 2.929242995259008
33.34736842105262, 3.029200073044272
34.69473684210524, 4.156548832778656
35.789473684210506, 4.518132147365006
37.13684210526314, 4.299365033561452
38.568421052631564, 3.64149134456536
39.8315789473684, 2.8856077681611434
40.75789473684209, 2.2864667593955645
42.2736842105263, 1.9691232190192016
43.53684210526315, 1.753109101007846
44.54736842105261, 1.436134153918288
46.14736842105262, 1.3219418500090199
47.157894736842096, 1.2789476058523703
49.178947368421035, 1.413799721238208
49.93684210526314, 1.3451788878752655
51.45263157894735, 1.0141088566200822
52.463157894736824, 0.9490172578494717
54.31578947368419, 0.9979705753765251
55.494736842105254, 1.084804265621979
56.50526315789472, 0.9498153515646643
57.684210526315766, 0.9659865916967868
58.947368421052616, 0.8046470349218983
60.126315789473665, 0.6376110368863388
61.726315789473674, 0.6485235751254258
62.90526315789471, 0.6069186933474757
64.33684210526314, 0.4575382865411156
65.68421052631578, 0.4810890072701461
66.77894736842104, 0.3070701510887046
68.21052631578945, 0.22391524495447085
69.64210526315787, 0.32839605493672913
70.98947368421051, 0.33960219592974766
72.16842105263156, 0.2517788041077083
73.4315789473684, 0.26473389705028
74.69473684210524, 0.09922544620212943
0.7578947368421058, 11.77253781989844
1.9368421052631568, 12.378068306787124
3.4526315789473685, 5.6649281010145085
4.631578947368421, 1.7389820609521471
5.97894736842105, 0.864865524192584
7.157894736842103, 0.7960271818202804
8.421052631578945, 0.7574704289560179
9.936842105263153, 1.0222576974514748
11.031578947368416, 1.1111851566192816
12.547368421052624, 1.5503580366397633
13.642105263157891, 1.9902717658400757
15.07368421052631, 2.685959641625376
16.168421052631572, 2.431340341082756
17.76842105263157, 1.6588430347571563
18.863157894736833, 1.0946324784238102
20.294736842105255, 0.825211472409772
21.305263157894732, 0.4766693410063125
22.736842105263147, 0.24920377054122209
23.915789473684203, 0.07039278391668762
0.7578947368421058, 18.143930179497946
2.0210526315789465, 17.2651021094343
3.1999999999999993, 9.487679911169533
4.800000000000001, 3.6160080488695105
5.81052631578947, 2.5502722958406645
7.242105263157892, 3.9316705729806087
8.421052631578945, 3.9326346559078407
9.768421052631574, 4.274963993884529
11.284210526315789, 5.0503758478690335
12.463157894736838, 6.592302323295116
13.473684210526311, 8.60469182843318
14.989473684210523, 9.832765732117668
16.336842105263152, 9.67323971140015
17.684210526315784, 9.204863253215512
18.863157894736833, 8.75885870562159
20.04210526315789, 8.06170371735782
21.22105263157894, 6.715116386449191
22.736842105263147, 4.736486929258875
23.999999999999996, 3.8162761493150863
25.347368421052618, 3.178935497065101
26.77894736842104, 3.88254247309939
27.873684210526303, 4.220289636172434
29.305263157894725, 3.574515785869511
30.568421052631567, 3.696427326583597
31.99999999999999, 4.018265578015235
33.263157894736835, 4.225022474075689
34.442105263157885, 5.607481809778808
35.70526315789472, 5.994924159971142
37.13684210526314, 5.427007095723755
38.48421052631578, 4.83174544874529
39.8315789473684, 4.092337115438064
41.01052631578946, 3.242812311756277
42.105263157894726, 2.7011015912969145
43.45263157894735, 2.486196453756048
44.88421052631577, 2.250671640850628
46.06315789473683, 1.9706756508548215
47.410526315789454, 1.6415611802171546
48.842105263157876, 1.8144247933597337
50.021052631578925, 1.8762742520888478
51.11578947368419, 1.4622232674957887
52.210526315789465, 1.323609767934183
53.894736842105246, 1.3462865636062478
55.494736842105254, 1.5905098218344256
56.673684210526304, 1.3248388854098427
57.76842105263157, 1.3473715549658636
59.1157894736842, 1.141181521494297
60.29473684210524, 0.9348803004058298
61.894736842105246, 0.9508805206607494
62.98947368421051, 0.8607404718982387
64.25263157894734, 0.6820720295785034
65.59999999999998, 0.7171801032811891
66.77894736842104, 0.42829822366615916
67.95789473684208, 0.30207768837278165
69.4736842105263, 0.45802732753435554
70.90526315789472, 0.48969133763570766
72.25263157894734, 0.33969141851158824
73.26315789473682, 0.3692351279830586
74.69473684210524, 0.12948814129949895
