#SVE points (r, sigmaR, sigmaZ, sigmaPhi, sigmaMajRestored)
25.1  103.214471075  51.6072355377  83.8840504167  64.6082003739
25.2  103.055436866  51.5277184331  83.6952522862  64.4750142062
25.3  102.897945049  51.4489725244  83.5081955235  64.3431365825
25.4  102.741991383  51.3709956917  83.3228712405  64.2125607671
25.5  102.587571531  51.2937857653  83.1392705179  64.0832800009
25.6  102.434681052  51.217340526  82.9573844067  63.9552875015
25.7  102.283315411  51.1416577057  82.7772039289  63.8285764647
25.8  102.133469978  51.0667349888  82.5987200787  63.7031400647
25.9  101.985140024  50.992570012  82.4219238232  63.5789714555
26.0  101.838320731  50.9191603657  82.2468061038  63.4560637709
26.1  101.693007188  50.8465035941  82.0733578369  63.3344101261
26.2  101.549194393  50.7745971964  81.9015699148  63.2140036176
26.3  101.406877254  50.703438627  81.7314332069  63.0948373249
26.4  101.266050593  50.6330252964  81.5629385604  62.9769043101
26.5  101.126709144  50.5633545718  81.3960768015  62.8601976195
26.6  100.988847556  50.494423778  81.230838736  62.744710284
26.7  100.852460395  50.4262301977  81.0672151503  62.6304353198
26.8  100.717542144  50.3587710722  80.9051968126  62.5173657288
26.9  100.584087204  50.2920436022  80.7447744734  62.4054944999
27.0  100.452089897  50.2260449485  80.5859388664  62.294814609
27.1  100.321544465  50.1607722324  80.4286807097  62.1853190202
27.2  100.192445073  50.0962225367  80.2729907063  62.0770006859
27.3  100.064785811  50.0323929057  80.1188595451  61.9698525481
27.4  99.9385606933  49.9692803467  79.9662779018  61.8638675383
27.5  99.8137636595  49.9068818298  79.8152364394  61.7590385786
27.6  99.6903885781  49.845194289  79.6657258096  61.6553585823
27.7  99.5684292459  49.784214623  79.517736653  61.5528204542
27.8  99.4478793901  49.7239396951  79.3712596003  61.4514170914
27.9  99.3287326689  49.6643663344  79.2262852727  61.3511413838
28.0  99.2109826731  49.6054913365  79.0828042832  61.2519862149
28.1  99.0946229272  49.5473114636  78.9408072369  61.153944462
28.2  98.9796468909  49.4898234455  78.8002847321  61.057008997
28.3  98.8660479598  49.4330239799  78.6612273606  60.9611726868
28.4  98.7538194669  49.3769097335  78.5236257091  60.8664283941
28.5  98.6429546839  49.3214773419  78.3874703593  60.7727689777
28.6  98.5334468219  49.266723411  78.2527518889  60.6801872929
28.7  98.4252890333  49.2126445167  78.1194608724  60.5886761925
28.8  98.3184744123  49.1592372062  77.9875878816  60.4982285268
28.9  98.2129959964  49.1064979982  77.8571234864  60.4088371445
29.0  98.1088467676  49.0544233838  77.7280582555  60.3204948928
29.1  98.0060196531  49.0030098266  77.6003827571  60.2331946183
29.2  97.9045075273  48.9522537636  77.4740875593  60.1469291673
29.3  97.8043032119  48.902151606  77.3491632313  60.0616913862
29.4  97.7053994779  48.852699739  77.2256003436  59.9774741219
29.5  97.6077890461  48.8038945231  77.1033894687  59.8942702228
29.6  97.5114645887  48.7557322943  76.982521182  59.8120725385
29.7  97.4164187298  48.7082093649  76.8629860619  59.7308739207
29.8  97.3226440474  48.6613220237  76.7447746912  59.6506672238
29.9  97.2301330736  48.6150665368  76.6278776571  59.5714453049
30.0  97.138878296  48.569439148  76.5122855519  59.4932010244
30.0  97.138878296  48.569439148  76.5122855519  59.4932010244
30.1  97.048872159  48.5244360795  76.3979889738  59.4159272466
30.2  96.9601070647  48.4800535323  76.2849785273  59.33961684
30.3  96.8725753738  48.4362876869  76.1732448239  59.2642626775
30.4  96.7862694069  48.3931347035  76.0627784827  59.1898576373
30.5  96.7011814455  48.3505907227  75.9535701307  59.1163946029
30.6  96.6173037329  48.3086518664  75.8456104038  59.0438664637
