# UGC 3546 = NGC 2273
# N08
# PA = deg
# inclination = 55 deg (adopted by N08)
# reff   sig   ds
# "    inter
  1.8  121.0   2.6
  6.5  116.0   3.8
 12.2  111.5   2.6
 20.6   60.6   1.9
 29.8   43.5   1.6
 48.5   32.9   2.9
 80.5   21.3  23.8
