# UGC 3546 = NGC 2273
# N08
# PA = deg
# inclination = 55 deg (adopted by N08)
# reff   sig  ds
# "    minor
  1.8  121.0  2.6
  5.8  120.2  2.8
 12.2  117.2  2.5
 20.4   79.9  1.6
 29.3   55.6  1.6
 44.8   51.5  2.2
