#Sigma LOS Maj (r, sig, dsig, gauss, sech, poly)
-52.6  116.4  25.9  63.1957124879  61.6080597795  75.6705568341
-47.9  81.4  20.6  71.6969006679  70.9711253055  75.8107573267
-43.9  128.7  25.4  80.2278370381  80.444888691  75.9506647774
-40.7  81.0  25.1  87.9432305891  88.9687395945  76.090285459
-37.8  53.6  21.6  95.610214418  97.3382123643  76.2296258455
-34.9  107.2  22.0  103.879958134  106.2141654  76.3686926106
-32.4  114.9  19.6  111.438102594  114.168165264  76.5074926278
-30.2  95.6  24.9  118.360127984  121.310632943  76.6460329684
-28.1  105.2  15.9  125.143451134  128.173866577  76.784320901
-25.9  142.9  14.6  132.358284559  135.323907931  76.9223638902
-24.1  137.2  13.6  138.279770092  141.076684202  77.0601695958
-22.7  155.4  15.0  142.856759787  145.452223608  77.1977458711
-21.2  116.8  12.1  147.695645253  150.011219532  77.335100762
-19.8  164.5  13.5  152.117227859  154.1173498  77.4722425055
-18.4  151.7  11.4  156.412912771  158.052349016  77.6091795286
-16.9  145.0  11.0  160.836175547  162.048687697  77.7459204467
-15.5  160.8  11.2  164.759669094  165.5464633  77.8824740622
-14.0  169.5  11.2  168.702632662  169.016924706  78.018849363
-12.6  174.4  9.5  172.102329801  171.972852111  78.1550555211
-11.2  159.6  9.7  175.196841413  174.633389567  78.2911018908
-10.1  166.7  11.8  177.393397831  176.503759224  78.4269980071
-9.4  170.4  9.6  178.676294973  177.58876225  78.562753584
-8.6  195.1  10.5  180.027764802  178.725435883  78.698378513
-7.9  187.5  9.5  181.106323279  179.627506296  78.8338828608
-7.2  192.7  9.6  182.084710311  180.441428857  78.9692768682
-6.5  190.7  9.3  182.960199022  181.165654871  79.1045709474
-5.8  176.7  8.4  183.730326753  181.798801377  79.2397756806
-5.0  186.8  10.1  184.478671043  182.409323579  79.3749018179
-4.3  188.0  8.8  185.016046085  182.843439049  79.5099602752
-3.6  182.9  8.5  185.442193469  183.183253419  79.6449621323
-2.9  185.2  9.7  185.755882412  183.428111196  79.7799186304
-2.2  186.3  9.9  185.9562037  183.577539434  79.9148411704
-1.4  194.3  11.0  186.045593257  183.631099963  80.0497413104
-0.7  190.7  12.9  186.00144825  183.57530091  80.1846307637
0.0  189.1  13.8  185.843221919  183.423787767  80.319521396
0.7  189.5  12.7  185.571374296  183.17685344  80.4544252237
1.4  182.9  11.7  185.186694138  182.834974875  80.5893544109
2.2  191.1  11.9  184.610339246  182.328852492  80.7243212676
2.9  191.4  10.8  183.988028002  181.785973872  80.8593382467
3.6  183.3  9.9  183.257437402  181.150827519  80.9944179415
4.3  178.3  10.7  182.420644876  180.424630016  81.1295730838
5.0  182.7  10.3  181.480011599  179.608767991  81.2648165403
5.8  198.4  10.9  180.281236944  178.56855959  81.4001613108
6.5  187.1  10.9  179.127272588  177.565992195  81.5356205252
7.2  176.0  9.7  177.878571245  176.479172998  81.6712074406
7.9  166.5  10.1  176.538505791  175.310140533  81.8069354388
8.6  192.3  10.3  175.110647645  174.061075522  81.9428180235
9.4  178.6  11.6  173.376127008  172.538550684  82.0788688173
10.1  160.0  10.4  171.772973641  171.125950774  82.2151015589
11.2  175.1  10.1  169.102803398  168.761044982  82.3515301002
12.6  175.2  10.8  165.460632653  165.509623552  82.4881684034
14.0  174.1  10.3  161.577775879  162.009263343  82.6250305379
15.5  146.2  11.5  157.190752854  158.010458559  82.7621306773
16.9  177.5  13.8  152.922136851  154.073450621  82.8994830964
18.4  145.5  12.5  148.202753613  149.666349656  83.0371021681
19.8  138.8  12.3  143.697769354  145.405087247  83.1750023602
21.2  134.2  10.9  139.129147652  141.028434012  83.3131982324
22.7  117.4  14.2  134.198175163  136.241419844  83.4517044329
24.1  118.1  12.7  129.592308224  131.710138644  83.5905356953
25.9  111.6  14.1  123.707651665  125.836171085  83.7297068353
28.1  97.6  15.3  116.637531579  118.653672726  83.8692327474
30.2  93.6  15.7  110.078692993  111.870318269  84.0091284016
32.4  109.5  18.1  103.464590119  104.91695554  84.1494088403
34.9  86.1  22.0  96.3248144913  97.2927230409  84.2900891742
37.8  98.8  22.4  88.6019949159  88.9262206732  84.4311845799
40.7  83.7  26.9  81.518144599  81.1705126468  84.5727102954
43.9  58.3  28.5  74.4576507716  73.4050656622  84.7146816176
47.9  61.3  30.6  66.7245982329  64.9374967176  84.8571138982
