#R h_z^s
15.0  18.8021481887
30.0  26.6735453133
45.0  36.5893252693
60.0  48.8824786467
75.0  68.0730319471
90.0  93.7761507612
105.0  126.862020779
120.0  172.783314549
135.0  231.520910087
150.0  302.09505718
165.0  384.226984473
180.0  472.132977918
195.0  547.061974924
210.0  604.033744952
225.0  686.0191447
240.0  814.818289123
255.0  1019.46883374
270.0  1285.09644903
285.0  1575.21602267
300.0  1981.93789852
315.0  2413.89193681
330.0  2859.45973962
345.0  3888.02605198
360.0  4635.3659649
