#PA_slit=235
#S/N=8
#    R,"     vel,km/s     v_err     sig,km/s    s_err    age,Myr    age_err     [Fe/H],dex   Z_err
   -4.28    24776.29     13.76       93.77     17.61    17738.12  16246.31       -0.47      0.12
   -3.03    24775.46     12.30      120.63     15.30    19999.99     -0.00       -0.20      0.10
   -2.50    24754.97     15.76      149.23     18.96    15868.92  14856.23       -0.26      0.12
   -2.14    24743.25     12.25      164.95     14.34    18743.78  11929.52       -0.08      0.10
   -1.78    24755.16     10.77      172.35     12.59    15994.86   9537.05       -0.18      0.08
   -1.43    24750.58      9.98      181.41     11.64    15382.53   7317.15       -0.27      0.09
   -1.07    24730.10      8.22      176.10      9.67    15264.78   5708.70       -0.29      0.06
   -0.71    24734.43      7.64      193.19      8.78    16286.27   6772.62       -0.17      0.05
   -0.36    24715.39      7.72      190.48      8.88    13724.45   4548.47       -0.22      0.07
    0.00    24711.24      7.53      188.26      8.78    14269.63   5417.78       -0.17      0.05
    0.36    24706.26      8.29      187.29      9.63    15925.41   5771.77       -0.19      0.06
    0.71    24698.12      9.82      187.76     11.44    16009.08   7969.44       -0.18      0.07
    1.07    24697.05     11.19      162.26     13.33    15048.68   8643.74       -0.29      0.12
    1.43    24685.65     12.84      138.79     15.58    14637.43  10982.14       -0.35      0.14
    1.78    24674.42     19.58      140.33     23.48    15148.72  14002.46       -0.45      0.13
    2.32    24696.67     14.43      100.00     18.05    10000.00  10071.61       -0.50      0.24
    3.75    24627.51     16.82      136.28     20.31    16197.25  20008.06       -0.24      0.14
    6.43    24747.23     14.63      100.00     18.43     2324.00    905.39       -0.10      0.29
    8.39    24774.54     11.20       63.39     16.14    19999.99     -0.00       -0.53      0.10
    9.28    24790.33     12.62       97.83     15.85     6909.76   5797.92       -0.21      0.18
