# UGC 5663 = NGC 3245
# Zasov+2012
# PA = 355 deg; PA_maj = 177.2 deg (from Mendez-Abreu+2008)
# not corrected for V_sys
# inclination = 61.9 deg (NED) (q_b = 0.52 - Mendez-Abreu+2008)
# data ARE NOT corrected for inclination
# r        vel       d_vel   sig     d_sig
# "        km/s      km/s    km/s    km/s
#(1)       (2)       (3)     (4)     (5)
-60.8700   1469.60   7.48    37.24   13.80
-51.5900   1483.53   4.67    45.10   12.93
-46.7700   1481.07   4.31    48.59   11.75
-43.2000   1486.33   4.08    44.34   13.77
-40.3400   1487.25   6.08    51.15    7.02
-38.0200   1487.93   4.51    48.88   10.39
-35.8800   1489.93   4.67    48.38    8.53
-33.9100   1490.80   4.74    59.39    8.24
-32.1300   1487.79   4.30    52.52    9.06
-30.5200   1494.16   4.55    67.71    8.39
-29.1000   1489.25   4.36    70.10    7.25
-27.6700   1493.99   4.20    55.79    8.69
-26.4200   1489.21   5.55    59.72    7.82
-25.3500   1486.55   4.56    64.67    8.10
-24.2800   1481.67   4.43    70.94    7.72
-23.2000   1483.08   4.33    66.29    7.83
-22.1300   1484.78   4.12    69.75    7.00
-21.0600   1481.08   4.16    74.35    6.52
-19.9900   1482.32   4.00    72.92    6.46
-18.9200   1472.68   3.66    75.25    6.41
-17.8500   1467.21   3.25    85.72    5.12
-16.7800   1462.86   3.14    83.02    4.90
-15.7100   1457.07   2.83    88.09    4.12
-14.6400   1451.50   2.72    90.63    4.34
-13.5700   1443.47   2.66    95.94    4.21
-12.4900   1432.98   2.49   100.43    4.23
-11.4200   1431.02   2.35   104.39    3.70
-10.3500   1425.66   2.25   106.53    3.52
 -9.2800   1418.54   2.18   120.26    3.16
 -8.2100   1405.21   1.95   128.39    2.83
 -7.1400   1401.16   1.79   138.41    2.72
 -6.0700   1394.74   1.66   150.66    2.42
 -5.0000   1383.42   1.54   164.41    2.10
 -3.9300   1371.40   1.43   173.96    1.88
 -2.8600   1349.81   1.30   188.44    1.72
 -1.7800   1332.37   1.28   193.18    1.73
 -0.7100   1306.67   1.16   195.86    1.53
  0.3600   1286.90   1.15   196.63    1.54
  1.4300   1263.60   1.17   190.83    1.62
  2.5000   1244.04   1.24   182.42    1.72
  3.5700   1230.09   1.34   174.63    1.85
  4.6400   1215.31   1.45   165.25    2.03
  5.7100   1209.55   1.62   149.95    2.16
  6.7800   1199.84   1.72   136.16    2.51
  7.8500   1189.01   1.88   132.32    2.81
  8.9200   1186.69   2.02   116.96    3.30
 10.0000   1183.87   2.15   111.39    3.29
 11.0700   1174.73   2.31   106.34    3.42
 12.1400   1163.76   2.38   104.73    3.54
 13.2100   1155.28   2.55    96.94    4.21
 14.2800   1152.25   2.60    94.00    3.74
 15.3500   1141.99   2.75    86.98    4.27
 16.4200   1137.91   2.92    82.68    4.73
 17.4900   1139.76   3.30    80.92    5.63
 18.5600   1130.11   3.39    72.70    5.56
 19.6300   1122.86   3.81    73.08    6.44
 20.7100   1119.31   3.74    72.49    6.31
 21.7800   1120.70   3.77    73.74    6.39
 22.8500   1112.79   4.22    74.01    6.70
 23.9200   1103.98   4.32    67.30    7.31
 24.9900   1107.74   4.59    66.00    7.81
 26.0600   1107.94   4.47    71.41    7.70
 27.1300   1103.04   4.50    66.03    8.45
 28.2000   1104.49   4.88    65.83    7.87
 29.4500   1103.97   4.10    60.85    8.19
 30.8800   1101.93   4.67    59.28    7.73
 32.3100   1099.71   4.91    56.96    8.80
 33.7400   1096.32   4.93    58.66    9.35
 35.3400   1104.69   5.32    50.56    8.46
 37.1300   1102.75   4.73    60.38    7.63
 39.0900   1103.95   4.70    61.84    7.61
 41.4100   1105.62   4.13    49.26   10.07
 44.0900   1102.78   4.39    47.66   11.15
 47.1200   1110.85   5.24    52.69    9.22
 50.6900   1109.01   5.67    46.41   10.65
 55.5100   1123.90   6.45    38.45   15.27
 66.4000   1138.43   7.73    34.61   14.98
