# UGC 5663 = NGC 3245
# Zasov+2012
# PA = 267 deg; PA_maj = 177.2 deg (from Mendez-Abreu+2008)
# not corrected for V_sys
# inclination = 61.9 deg (NED) (q_b = 0.52 - Mendez-Abreu+2008)
# data ARE NOT corrected for inclination
# r        vel       d_vel   sig     d_sig
# "        km/s      km/s    km/s    km/s
#(1)       (2)       (3)     (4)     (5)
-29.2700   1281.29   5.56   101.44   7.25
-24.1000   1270.27   5.25    95.49   6.93
-21.0600   1286.15   4.40    85.88   6.59
-18.9200   1272.79   4.87    86.86   6.16
-17.3100   1278.72   4.82    96.74   6.66
-15.8900   1280.06   4.03    89.48   5.81
-14.6400   1275.39   4.50   101.39   6.44
-13.5700   1281.28   4.06    90.50   6.18
-12.4900   1274.79   3.90   102.85   5.52
-11.4200   1280.94   3.70   104.54   5.74
-10.3500   1278.87   3.29   108.47   5.41
 -9.2800   1284.76   2.86   116.53   4.22
 -8.2100   1279.10   2.53   128.99   3.84
 -7.1400   1279.89   2.21   140.45   2.96
 -6.0700   1279.49   1.90   143.65   2.81
 -5.0000   1279.65   1.64   164.47   2.33
 -3.9300   1276.20   1.41   175.84   1.97
 -2.8600   1274.91   1.24   193.98   1.57
 -1.7800   1278.01   1.15   205.29   1.48
 -0.7100   1275.55   1.10   212.95   1.38
  0.3600   1276.46   1.06   212.19   1.38
  1.4300   1276.18   1.11   202.41   1.47
  2.5000   1276.79   1.26   193.12   1.60
  3.5700   1275.96   1.39   180.85   1.88
  4.6400   1271.75   1.62   167.85   2.24
  5.7100   1276.29   1.86   151.11   2.76
  6.7800   1276.75   2.13   139.60   3.21
  7.8500   1279.50   2.49   129.69   4.04
  8.9200   1277.59   2.80   120.67   4.27
 10.0000   1280.46   3.11   107.92   5.03
 11.0700   1280.67   3.51    99.38   5.53
 12.1400   1283.14   3.84   101.34   5.77
 13.2100   1280.64   4.23    99.22   6.24
 14.2800   1278.07   4.31    83.91   6.26
 15.3500   1270.45   4.43    99.31   6.34
 16.6000   1279.50   4.53    99.97   6.60
 18.0300   1280.54   4.80    98.27   6.97
 19.6300   1283.19   4.36    83.44   6.26
 21.6000   1285.48   4.82    82.87   6.77
 24.1000   1270.80   4.58    93.13   6.96
 27.8500   1273.31   5.47    76.26   6.47
 36.9500   1274.08   6.83    90.36   8.30
