# R,''		R
1.1073628054760434, 17.47620915545444
1.9840740595458328, 17.755697642490098
2.415957321617782, 18.114855058251287
4.613031028125363, 18.634056407641317
6.367630329894553, 19.153140077668382
9.010708822029642, 19.552779194288632
11.205428941277944, 20.151767151767157
14.29215863178132, 20.51163064370612
19.148785941238714, 20.871964853096934
24.01012042521478, 21.072725846310753
29.303338171262737, 21.63264425528577
38.585886321735416, 21.95426195426196
44.77111363903816, 22.27505589769741
50.95398736908169, 22.675636449221358
57.14274506727338, 22.876750480524066
63.76926999568508, 23.23755540736673
71.72792531283096, 23.43914015612129
80.12552465382652, 23.760522496371557
87.19217039971755, 24.201231710665677
95.58506256619461, 24.682187267092928
105.75255952614447, 25.004040324795046
115.91181893068682, 25.60514651080689
127.85039030322042, 25.88757698191661
140.2184913505667, 26.60895147687601
# R,''		B
1.5039422586593219, 19.032165692543053
2.3747695445809427, 19.511120699799946
3.2514807986505616, 19.790609186835606
4.1187777036833495, 20.38924410622524
6.752441846781551, 21.108029655199466
8.948338759659578, 21.667124308633745
12.916486878751073, 22.146903071431375
19.09936060879454, 22.547483622955326
24.391401561212888, 23.147295335974583
33.23147530694706, 23.468795355587815
38.53175381477274, 23.78935394029734
44.7181579257051, 24.070254579688545
50.46326442552862, 24.31114423567254
55.76589652061347, 24.551916212293577
65.93339348056332, 24.87376926999569
72.56580237712313, 25.035107676617116
78.30973208331704, 25.315890636645356
86.26132663868515, 25.756835209665404
95.987525987526, 26.038677283960304
105.27007413799862, 26.360294982936498
114.99274310595064, 26.76181696936414
127.81626328796136, 27.044482799199784
