# R, kpc		1/Q_1F
0, 0
4.679245283018867, 0.013357632933103325
9.50943396226415, 0.10632504288164668
14.18867924528302, 0.2674099485420234
19.169811320754715, 0.40589622641509315
23.84905660377359, 0.44198113207547074
28.830188679245282, 0.41001286449399466
33.50943396226415, 0.42337049742709976
38.33962264150943, 0.5163379073756422
43.16981132075471, 0.552487135506003
47.849056603773576, 0.5431174957118348
52.83018867924528, 0.5225128644939954
57.660377358490564, 0.45638936535162866
62.490566037735846, 0.3675385934819895
67.1698113207547, 0.2672598627787295
72, 0.1670454545454536
