ID, IAU Identifier, Catalog Coordinate  Ra, Catalog Coordinate  Dec, mag r-band  Petrosian, mag r-band  Auto, Redshift (Heliocentric), Redshift (Flow Corrected), Absolute Mag r-band  Auto, r-band Effective Radius, Surface Brightness (1R_e_AVG), Surface Brightness (1R_e), Surface Brightness (2R_e), Ellipticity  r-band, Position Angle  r-band, Stellar Mass, Colour Auto g-i, Galactic extinction  g-band, Priority Class, Bad Class
77710,J141735.09+000932.7,214.39622,0.15909,16.341,16.36,0.05436,0.05525,-20.66,3.11,19.43,20.5,22.14,0.7312,30.68,10.38,1.18,0.133,8,0
77754,J141835.46+000927.7,214.64775,0.15772,15.342,15.274,0.05311,0.05399,-21.67,7.03,20.95,21.89,23.57,0.4378,81.2,10.48,0.78,0.161,8,0
78523,J143000.45+001225.9,217.50189,0.2072,17.175,17.117,0.05602,0.05686,-19.97,3.15,20.14,21.11,22.79,0.7645,72,10.12,1.2,0.144,8,0
78531,J143021.97+000718.5,217.59158,0.12183,16.917,15.571,0.05543,0.05627,-21.51,3.55,20.2,21.2,22.86,0.3342,145.75,10.73,1.18,0.147,8,0
78667,J143221.79+001041.2,218.09082,0.17812,15.966,15.929,0.05479,0.05562,-21.06,6.85,21.84,22.69,24.41,0.2246,19.74,10.16,0.69,0.138,8,0
78791,J143435.78+000431.8,218.64909,0.07552,16.854,16.821,0.02662,0.0274,-18.59,2.94,20.01,20.94,22.63,0.6899,171.39,9.27,0.76,0.152,8,0
78827,J143540.07+001217.7,218.91699,0.20494,15.08,15.058,0.02926,0.03005,-20.56,3.37,19.52,21.04,22.6,0.2183,162.07001,10.3,1.07,0.145,8,0
78921,J143638.62+000702.6,219.16095,0.1174,17.43,16.422,0.02982,0.03061,-19.21,8.88,22.69,23.49,25.24,0.452,162.75,9.44,0.67,0.153,8,0
79635,J145003.72+000550.9,222.51551,0.0975,14.962,14.914,0.04006,0.0408,-21.39,9.13,21.3,21.94,23.82,0.4036,45.68,10.46,0.87,0.179,8,0
79690,J145050.95+000533.3,222.71231,0.09259,18.184,17.901,0.04405,0.04479,-18.65,3.63,22.19,23.08,24.79,0.515,61.49,9.51,1.04,0.169,8,0
79693,J145054.58+000139.6,222.72742,0.02767,16.697,16.656,0.0431,0.04384,-19.82,4.4,20.71,21.2,23.26,0.7099,105.07,10.07,1.18,0.174,8,0
79710,J145058.07+000531.8,222.74198,0.09219,18.752,18.508,0.04194,0.04267,-17.94,3.04,22.68,23.31,25.2,0.3955,38.87,9.18,0.96,0.169,8,0
79712,J145113.81+000140.6,222.80757,0.02796,18.274,18.04,0.02326,0.024,-16.99,1.95,22.68,24.01,25.6,0.275,13.91,8.57,0.7,0.173,8,5
79771,J145128.54+000453.2,222.86892,0.08145,18.451,17.722,0.04252,0.04325,-18.69,4.6,23.14,23.95,25.69,0.2966,130.35001,9.02,0.43,0.166,8,0
79850,J145343.12+000221.5,223.42969,0.03931,17.394,17.386,0.044,0.04472,-19.15,3.6,20.9,21.65,23.43,0.7302,4.43,9.82,1.2,0.188,8,0
84048,J114309.31+003332.0,175.78879,0.5589,17.269,17.297,0.01861,0.02053,-17.47,4.84,22.3,23.1,24.85,0.3345,116.12,8.66,0.56,0.095,8,0
84106,J114356.82+003120.1,175.98676,0.52227,16.164,16.229,0.02794,0.02918,-19.42,2.68,20.19,21.01,22.75,0.0638,177.37,9.93,1.13,0.104,8,0
84107,J114359.62+002540.8,175.99843,0.42801,15.351,15.345,0.0287,0.02994,-20.25,5.05,20.64,21.34,23.16,0.2314,77.44,9.71,0.5,0.108,8,0
84677,J115723.03+002913.9,179.34597,0.4872,15.32,15.319,0.04721,0.04846,-21.38,5.99,20.33,21.38,23.03,0.5356,61.92,10.56,1,0.08,8,0
84680,J115730.00+003609.1,179.37502,0.60255,15.89,15.916,0.04717,0.04842,-20.79,3.57,20.03,21.24,22.84,0.4169,2.63,10.51,1.26,0.074,8,0
85416,J120928.65+003159.7,182.36937,0.53327,14.713,14.691,0.01943,0.02126,-20.15,5.85,19.41,19.99,21.93,0.6649,170.14,10.21,1.14,0.108,8,0
85418,J120937.08+003210.0,182.40452,0.53611,17.685,17.717,0.02066,0.02232,-17.21,2.05,20.87,21.91,23.56,0.3222,80.58,8.83,0.9,0.11,8,0
85423,J120906.79+002823.8,182.27832,0.47328,17.509,17.512,0.01973,0.02152,-17.35,3.56,22.11,22.66,24.63,0.1767,33.06,8.63,0.59,0.104,8,0
85464,J121007.38+002534.2,182.53076,0.42618,18.366,18.357,0.0199,0.02166,-16.53,3.75,22.54,23.48,25.17,0.4713,46.59,8.53,0.85,0.108,8,0
85474,J121016.64+003735.7,182.56936,0.62658,15.255,15.199,0.02069,0.02235,-19.76,9.73,20.79,21.32,23.33,0.7406,151.25,10,1.07,0.113,8,0
85479,J121044.33+003733.1,182.68473,0.62588,16.439,16.445,0.02094,0.02257,-18.52,6.27,21.25,22.01,23.79,0.6758,114.07,9.37,0.91,0.107,8,0
85481,J121050.30+003545.2,182.70962,0.59591,16.823,16.829,0.01997,0.02172,-18.05,4.34,21.51,22.2,24.03,0.4085,131.83,9.02,0.7,0.104,8,0
85505,J121058.01+003614.1,182.74172,0.60392,15.597,15.606,0.07787,0.07914,-22.29,6.87,20.65,21.62,23.29,0.639,141.96001,11.06,1.25,0.106,8,0
