# UGC 9133 = NGC 5533
# N08
# PA = deg
# Vsys = 3847.6 pm 2.2 km/s
# inclination =  53 deg (adopted by N08)
# data are corrected for inclination
# reff   v     dv
# "
  1.5   95.4   3.7
  4.6  184.5   3.2
 10.9  224.1   3.7
 19.8  241.4   3.7
 31.6  219.3   4.3
 52.1  208.4   6.2
 76.5  174.3  16.8
