# UGC 9133 = NGC 5533
# N08
# PA =
# Vsys = 3847.6 pm 2.2
# inclination =  53 deg (adopted by N08)
# reff   sig  ds
# "    minor
  1.5  143.4  2.2
  5.4  139.4  2.2
 11.3  122.7  3.6
 19.6  110.4  3.8
 32.0  104.5  5.4
 46.4   91.2  8.9
