# UGC 6787 = NGC 3898
# N08
# PA = deg
# Vsys = 1171.9 pm 2.5
# inclination = 69 deg (adopted by N08)
# reff   sig  ds
# "    inter
  1.2  221.4  2.0
  5.4  184.9  1.7
 12.6  150.3  2.7
 20.3  141.2  3.2
 36.3  152.7  4.1
 55.6  131.8  7.7
 70.8  121.2  7.0
