# R, arcsec     V
2.087673090095109, 17.23036782307209
3.170170247922215, 17.70923688540218
4.957031994746387, 18.11613718691965
6.386945070154013, 18.451238198803818
7.812091768643597, 18.67855554064837
8.527577903782742, 18.85808200992819
9.95007661509564, 19.02551953508407
10.662385165622766, 19.133190224337476
12.087531864112378, 19.36050756618203
14.218102346469692, 19.539808073889436
15.286829970978062, 19.707302089438418
16.711447072032314, 19.922643467945235
18.841487956954325, 20.08996801231491
21.33165509790487, 20.400947626344298
20.619346547377802, 20.293276937090887
23.814937472196135, 20.556239716983132
26.65357972559795, 20.747403207242073
29.493810771305704, 20.974494587514215
32.68622411151202, 21.16560158738005
36.235056525699605, 21.416531913541455
40.4861351391429, 21.54758962553931
45.796938220693846, 21.64254997634465
50.40019912863562, 21.737623307936197
55.36040870799411, 21.90449592916105
60.674918971592376, 22.083288023330535
64.57328569310187, 22.23835415239696
70.59321974056786, 22.369129412429302
74.48840887746525, 22.452339761469318
78.03300451217012, 22.607462380928844
80.16251579965683, 22.76281096196078
83.3549291398632, 22.95391796182662
87.95713085293431, 23.025039366742696
91.50172648763919, 23.180161986202222
95.04367413516741, 23.275404788973077
97.88072759626317, 23.43064038921881
101.77856472033727, 23.573730554947502
105.3215715627361, 23.692925284393823
108.15703623152586, 23.812232994626353
111.34733118199085, 23.95543614114125
116.30489277417263, 24.06242894567743
118.43281526935328, 24.18184963669616
121.61675505059424, 24.18134122315824
124.80546120875317, 24.28861647965993
126.57855342225866, 24.384141734396295
131.18287352507116, 24.50316699266331
133.6650967044917, 24.634507156626675
138.26994640473953, 24.76550837823143
143.9308133910477, 24.776580495279525
145.3543712972313, 24.96796994711087
150.31299208428374, 25.098914678322522
155.2673760918534, 25.134051702832288
158.0991335785958, 25.16952766970067
160.57606078366297, 25.181108200286687
