# ind name R, arcsec  R, photom
164	NGC 3898	149.75	24.24
165	NGC 3898	154.24	24.32
166	NGC 3898	158.87	24.40
167	NGC 3898	163.64	24.50
168	NGC 3898	168.55	24.57
169	NGC 3898	173.60	24.70
170	NGC 3898	178.81	24.75
171	NGC 3898	184.18	24.90
172	NGC 3898	189.70	24.97
173	NGC 3898	195.39	25.12
174	NGC 3898	201.25	25.15
175	NGC 3898	207.29	25.29
176	NGC 3898	213.51	25.40
177	NGC 3898	219.91	25.50
178	NGC 3898	226.51	25.60
179	NGC 3898	233.31	25.75
180	NGC 3898	240.30	25.88
181	NGC 3898	247.52	26.03
182	NGC 3898	254.94	26.20
183	NGC 3898	262.59	26.27
184	NGC 3898	270.47	26.42
185	NGC 3898	278.58	26.56
186	NGC 3898	286.94	26.66
187	NGC 3898	295.55	26.74
188	NGC 3898	304.41	27.04
189	NGC 3898	313.54	26.94
190	NGC 3898	322.95	27.24
191	NGC 3898	332.64	27.03
192	NGC 3898	342.62	27.80
193	NGC 3898	352.90	27.17
194	NGC 3898	363.48	27.85
