#R h_z^s
15.0  8.79454022807
30.0  12.9284589675
45.0  18.0338427367
60.0  24.2804289496
75.0  33.9335976092
90.0  46.8230432668
105.0  63.397464243
120.0  86.3475055879
135.0  115.677541277
150.0  150.892751528
165.0  191.848208696
180.0  235.651231605
195.0  272.943611737
210.0  301.249660948
225.0  342.00275406
240.0  406.052038323
255.0  507.834537141
270.0  639.898749733
285.0  784.048399997
300.0  986.097796258
315.0  1200.53535492
330.0  1421.57015212
345.0  1932.14917666
360.0  2302.62222671
