# R,''		I
0, 16.083150984682714
0.7317073170731874, 16.47702407002188
1.8292682926829684, 16.87089715536105
3.2926829268292295, 17.330415754923415
4.3902439024390105, 17.757111597374177
7.31707317073176, 18.282275711159738
10.243902439024339, 18.676148796498904
12.804878048780495, 19.10284463894967
14.634146341463406, 19.36542669584245
18.292682926829286, 19.759299781181618
21.21951219512198, 20.185995623632387
25.243902439024453, 20.547045951859957
28.90243902439022, 20.84245076586433
32.92682926829269, 21.170678336980302
39.14634146341467, 21.46608315098468
43.17073170731709, 21.827133479212254
49.39024390243901, 22.188183807439824
54.146341463414615, 22.549234135667398
60.00000000000006, 22.97592997811816
65.85365853658533, 23.40262582056893
72.07317073170731, 23.698030634573303
78.65853658536588, 24.059080962800873
87.4390243902439, 24.288840262582056
95.12195121951225, 24.682713347921226
# R,''		R
0, 17.00218818380744
0.7317073170731874, 17.461706783369802
1.8292682926829684, 17.921225382932164
3.2926829268292295, 18.38074398249453
4.756097560975604, 18.7417943107221
6.951219512195166, 19.299781181619256
8.414634146341427, 19.628008752735226
11.707317073170714, 19.792122538293217
14.268292682926813, 20.218818380743983
16.463414634146318, 20.514223194748357
20.121951219512198, 20.74398249452954
23.414634146341484, 21.2035010940919
26.34146341463412, 21.433260393873084
29.634146341463406, 21.728665207877462
33.65853658536582, 22.056892778993436
36.58536585365857, 22.25382932166302
39.512195121951265, 22.516411378555798
44.63414634146335, 22.877461706783368
49.02439024390242, 23.074398249452955
53.414634146341484, 23.271334792122538
60.00000000000006, 23.599562363238512
66.21951219512192, 23.927789934354486
71.34146341463412, 24.190371991247265
79.02439024390247, 24.387308533916848
86.34146341463412, 24.682713347921226
94.75609756097566, 25.010940919037196
104.63414634146335, 25.33916849015317
114.87804878048786, 25.798687089715536
126.58536585365852, 26.323851203501093
140.48780487804873, 27.111597374179432
# R,''		B
0.3658536585365937, 19.168490153172865
1.4634146341463747, 19.52954048140044
3.658536585365823, 19.923413566739605
4.3902439024390105, 20.153172866520787
4.756097560975604, 20.547045951859957
4.756097560975604, 20.87527352297593
8.048780487804834, 21.10503282275711
11.707317073170714, 21.400437636761488
15.365853658536594, 21.695842450765863
19.756097560975604, 22.188183807439824
22.31707317073176, 22.4835886214442
27.07317073170725, 22.877461706783368
31.097560975609724, 23.140043763676147
34.39024390243901, 23.40262582056893
38.414634146341484, 23.632385120350108
40.243902439024396, 24.026258205689274
44.268292682926756, 24.190371991247265
49.756097560975604, 24.61706783369803
51.95121951219511, 24.814004376367613
59.26829268292687, 25.076586433260395
66.21951219512192, 25.568927789934357
72.07317073170731, 25.70021881838074
79.75609756097566, 26.061269146608314
87.4390243902439, 26.2582056892779
95.12195121951225, 26.520787746170676
104.26829268292676, 26.84901531728665
115.60975609756105, 27.275711159737416
126.95121951219511, 27.833698030634572
139.02439024390236, 28.326039387308533
153.65853658536577, 28.85120350109409
