# R,''  Vc
0.07827788649706502, 1.5929203539822652
1.01761252446184, 158.76106194690266
2.348336594911939, 226.19469026548677
3.287671232876712, 253.27433628318587
4.461839530332681, 263.36283185840716
5.63600782778865, 255.3982300884956
6.653620352250491, 263.89380530973455
7.906066536203524, 269.73451327433634
9.158512720156558, 285.66371681415933
10.176125244618394, 291.50442477876106
11.350293542074365, 293.6283185840708
12.524461839530332, 302.12389380530976
13.855185909980431, 302.12389380530976
15.029354207436398, 304.77876106194697
16.125244618395303, 302.6548672566372
17.221135029354212, 303.18584070796464
18.160469667318985, 299.4690265486726
19.412915851272018, 296.28318584070803
20.66536203522505, 296.81415929203547
21.682974559686887, 293.6283185840708
22.622309197651667, 276.63716814159295
23.874755381604697, 277.69911504424783
25.205479452054796, 275.57522123893807
26.45792563600783, 277.69911504424783
27.318982387475536, 278.2300884955753
28.7279843444227, 290.9734513274337
29.823874755381603, 301.5929203539823
30.684931506849317, 302.12389380530976
31.78082191780822, 304.2477876106195
33.03326810176125, 298.9380530973452
34.442270058708424, 295.22123893805315
35.53816046966732, 301.5929203539823
36.555772994129164, 297.3451327433629
37.72994129158513, 303.18584070796464
38.825831702544036, 299.4690265486726
40.15655577299414, 297.3451327433629
41.017612524461846, 298.9380530973452
42.19178082191781, 301.5929203539823
43.44422700587084, 294.15929203539827
44.618395303326814, 300.5309734513275
45.792563600782785, 277.69911504424783
48.06262230919766, 283.53982300884957
46.810176125244624, 295.7522123893806
59.979521328466774, 268.66972221448276
69.97192889582348, 257.05330027026275
80.17991975704214, 275.27931793485834
89.9919199799393, 287.6396589674292
99.97910339639466, 268.0302861441587
