#Star points (r, v, dv)
99.1  228.220371535  31.9447088015
79.8  221.258063206  12.7983608981
62.0  225.45592558  11.0577838159
44.7  224.432056709  10.7506231544
29.0  215.114849974  10.9553969288
20.4  205.285708805  11.5697182519
13.8  167.300173659  13.6174559955
8.1  186.54890845  8.70288541068
3.8  104.844172477  8.49811163631
1.3  30.9208399297  8.80527229787
1.3  30.9208399297  8.80527229787
3.8  104.844172477  8.49811163631
8.1  186.54890845  8.70288541068
13.8  167.300173659  13.6174559955
20.4  205.285708805  11.5697182519
29.0  215.114849974  10.9553969288
44.7  224.432056709  10.7506231544
62.0  225.45592558  11.0577838159
79.8  221.258063206  12.7983608981
99.1  228.220371535  31.9447088015

#Star and gas polinom (r, p_star, p_gas)
1.3  30.2653575505  -9.5680943012
1.4  33.2071377557  -2.35520879247
1.5  36.1964731457  5.35556271609
1.6  39.2270506648  13.4745561541
1.7  42.2928420576  21.9197240581
1.8  45.3880953149  30.6161676676
1.9  48.5073263068  39.4956918288
2.0  51.6453106021  48.4963817934
2.1  54.7970754706  57.5622010337
2.2  57.9578920646  66.6426092198
2.3  61.1232677774  75.6921995378
2.4  64.2889387755  84.670354553
2.5  67.4508627017  93.5409198491
2.6  70.6052115463  102.271894701
2.7  73.7483646833  110.835139065
2.8  76.8769020696  119.206096193
2.9  79.9875976027  127.363530207
3.0  83.0774126366  135.289277978
3.1  86.143489651  142.968014701
3.2  89.1831460725  150.38703256
3.3  92.1938682444  157.536031897
3.4  95.173305543  164.406924343
3.5  98.1192646378  170.993647358
3.6  101.029703892  177.29198967
3.7  103.902727903  183.299427113
3.8  106.736582178  189.014968381
3.9  109.529647944  194.43901024
4.0  112.280437088  199.573201742
4.1  114.987587227  204.420317025
4.2  117.649856905  208.98413628
4.3  120.266120915  213.26933449
4.4  122.835365737  217.281377556
4.5  125.356685106  221.026425449
4.6  127.829275686  224.511242034
4.7  130.25243287  227.743111229
4.8  132.625546682  230.729759168
4.9  134.948097801  233.479282067
5.0  137.219653684  236.000079483
5.1  139.439864802  238.300792693
5.2  141.608460978  240.390247899
5.3  143.725247827  242.277404016
5.4  145.790103296  243.971304773
5.5  147.802974307  245.481034901
5.6  149.763873491  246.815680163
5.7  151.672876017  247.984291013
5.8  153.530116519  248.995849666
5.9  155.335786105  249.85924039
6.0  157.090129466  250.583222802
6.1  158.793442059  251.17640801
6.2  160.446067388  251.647237409
6.3  162.048394359  252.003963961
6.4  163.600854722  252.254635815
6.5  165.103920588  252.407082089
6.6  166.558102032  252.468900691
6.7  167.963944766  252.447448029
6.8  169.322027888  252.349830478
6.9  170.632961705  252.182897481
7.0  171.897385629  251.953236167
7.1  173.115966142  251.66716736
7.2  174.28939483  251.330742895
7.3  175.418386481  250.949744109
7.4  176.503677252  250.529681438
7.5  177.5460229  250.075795011
7.6  178.546197073  249.593056155
7.7  179.504989666  249.086169744
7.8  180.423205229  248.559577294
7.9  181.301661444  248.017460746
8.0  182.14118765  247.463746857
8.1  182.942623425  246.902112148
8.2  183.70681723  246.335988333
8.3  184.434625095  245.768568176
8.4  185.126909359  245.202811735
8.5  185.784537471  244.641452916
8.6  186.408380823  244.087006319
8.7  186.999313644  243.541774308
8.8  187.558211936  243.007854275
8.9  188.085952455  242.487146063
9.0  188.583411734  241.981359497
9.1  189.051465158  241.492022012
9.2  189.490986069  241.020486316
9.3  189.902844921  240.567938098
9.4  190.287908471  240.135403719
9.5  190.647039008  239.723757881
9.6  190.981093625  239.333731253
9.7  191.290923516  238.965918016
9.8  191.577373326  238.620783333
9.9  191.841280516  238.298670704
10.0  192.083474781  237.999809209
10.1  192.304777482  237.724320607
10.2  192.506001126  237.472226299
10.3  192.687948867  237.24345413
10.4  192.851414041  237.037845017
10.5  192.997179725  236.855159411
10.6  193.126018334  236.695083569
10.7  193.238691232  236.557235644
10.8  193.335948385  236.441171569
10.9  193.418528024  236.346390751
11.0  193.487156343  236.272341562
11.1  193.542547221  236.218426616
11.2  193.585401959  236.184007851
11.3  193.616409049  236.168411395
11.4  193.636243961  236.170932225
11.5  193.645568947  236.190838615
11.6  193.645032874  236.227376383
11.7  193.635271068  236.279772926
11.8  193.616905183  236.347241049
11.9  193.590543085  236.428982596
12.0  193.556778755  236.52419188
12.1  193.51619221  236.632058912
12.2  193.469349436  236.751772442
12.3  193.416802341  236.882522807
12.4  193.359088723  237.023504594
12.5  193.296732252  237.173919118
12.6  193.230242462  237.332976732
12.7  193.160114764  237.499898953
12.8  193.086830463  237.673920426
12.9  193.010856799  237.854290725
13.0  192.932646985  238.040275996
13.1  192.852640269  238.231160446
13.2  192.771262002  238.426247684
13.3  192.688923715  238.624861925
13.4  192.606023207  238.826349047
13.5  192.522944644  239.030077529
13.6  192.440058664  239.235439253
13.7  192.357722493  239.44185019
13.8  192.276280068  239.648750973
13.9  192.196062168  239.855607352
14.0  192.11738655  240.061910553
14.1  192.040558099  240.267177534
14.2  191.965868972  240.470951149
14.3  191.893598763  240.672800217
14.4  191.824014659  240.872319516
14.5  191.757371615  241.069129692
14.6  191.693912522  241.262877096
14.7  191.63386839  241.453233552
14.8  191.577458528  241.639896062
14.9  191.524890729  241.822586446
15.0  191.476361466  242.001050933
15.1  191.432056078  242.175059699
15.2  191.392148974  242.344406353
15.3  191.35680383  242.50890739
15.4  191.326173791  242.668401596
15.5  191.300401674  242.822749424
15.6  191.27962018  242.971832339
15.7  191.263952098  243.115552128
15.8  191.253510518  243.253830196
15.9  191.248399038  243.386606838
16.0  191.248711985  243.513840486
16.1  191.254534619  243.635506955
