#Sigma LOS Maj (r, sig, dsig, gauss, sech, poly)
-99.1  62.1  23.2  54.4363455359  55.3705428903  55.2216819728
-79.8  58.8  6.9  54.6782748206  55.3713244251  55.2341721509
-62.0  62.3  4.7  55.8030110039  55.4480996305  55.246755291
-44.7  70.6  3.7  60.7536290382  57.5884436972  55.2594323593
-29.0  71.9  3.3  77.1355106004  73.3608565179  55.2722043127
-20.4  78.8  2.8  95.6252698908  93.9732287867  55.2850720988
-13.8  110.4  3.4  113.439133068  113.074616358  55.2980366557
-8.1  128.2  3.1  127.310337497  127.177027652  55.3110989119
-3.8  137.5  2.2  133.725443676  133.634148951  55.3242597862
-1.3  141.5  2.0  135.051878625  135.126989546  55.3375201878
1.3  141.5  2.0  134.351825332  134.756169223  55.3508810159
3.8  137.5  2.2  131.745757651  132.575249514  55.3643431601
8.1  128.2  3.1  123.604573377  125.121967221  55.3779074997
13.8  110.4  3.4  108.757304408  110.289435242  55.3915749042
20.4  78.8  2.8  91.3725239965  91.2509636608  55.4053462328
29.0  71.9  3.3  74.3617990467  71.5845261024  55.4192223346
44.7  70.6  3.7  59.8886950569  57.2600577743  55.4332040484
62.0  62.3  4.7  55.6047733968  55.4326429562  55.4472922027
79.8  58.8  6.9  54.6367840821  55.3711296292  55.4614876154
99.1  62.1  23.2  54.4288201133  55.3705424586  55.4757910939
