# UGC 3546 = NGC 2273
# N08
# PA = deg
# V_sys = 1837.9 pm 1.0 km/s
# inclination = 55 deg (adopted by Noordermeer+2007)
# data are corrected for inclination
#reff v    dv     reff sig   ds    reff sig    ds   reff  sig   ds
#"                "    major       "    inter        "    minor
 1.8 104.2 18.8    1.8 121.0 2.6    1.8 121.0  2.6    1.8 121.0 2.6
 5.2 127.6  2.2    4.1 114.1 2.8    6.5 116.0  3.8    5.8 120.2 2.8
12.2 173.0  2.6   12.0 103.5 4.2   12.2 111.5  2.6   12.2 117.2 2.5
20.6 211.7  1.7   20.7  41.6 1.9   20.6  60.6  1.9   20.4  79.9 1.6
29.4 200.8  1.8   29.1  34.6 2.1   29.8  43.5  1.6   29.3  55.6 1.6
48.1 196.6  2.6   53.4  26.7 5.4   48.5  32.9  2.9   44.8  51.5 2.2
79.3 184.8 11.5                    80.5  21.3 23.8
