#SigmaGas/SigmaCR (1)r_gas  (2)Q1F (3)Q1F_med (4)Q1F_std (5)Q2FHydro (6)Q2FHydro_med (7)Q2FHydro_std (8)Q2FKinet (9)Q2FKinet_med (10)Q2FKinet_std (11)Q2F_withDisc (12)Q2F_withDisc_med (13)Q2F_withDisc_std)
15.0  0.246127583811  0.246127583811  0.0  0.274884213333  0.274884213333  0.0  0.274775119607  0.274775119607  0.0  0.245511935226  0.245511935226  0.0
30.0  0.473613516907  0.473613516907  0.0  0.537774200734  0.537774200734  0.0  0.537347443189  0.537347443189  0.0  0.461751801423  0.461751801423  0.0
45.0  0.626910125571  0.626910125571  0.0  0.721472111393  0.721472111393  0.0  0.72057341092  0.72057341092  0.0  0.596928600351  0.596928600351  0.0
60.0  0.744485288795  0.744485288795  0.0  0.8645217803  0.8645217803  0.0  0.863058027754  0.863058027754  0.0  0.699532672628  0.699532672628  0.0
75.0  0.893134383489  0.893134383489  0.0  1.03761081145  1.03761081145  0.0  1.03555345344  1.03555345344  0.0  0.821940372534  0.821940372534  0.0
90.0  1.25857739919  1.25857739919  0.0  1.47058964066  1.47058964066  0.0  1.46693244172  1.46693244172  0.0  1.16674347776  1.16674347776  0.0
105.0  1.4336137539  1.4336137539  0.0  1.70871064778  1.70871064778  0.0  1.70260560351  1.70260560351  0.0  1.31927863312  1.31927863312  0.0
120.0  1.48759160268  1.48759160268  0.0  1.83991724252  1.83991724252  0.0  1.82965883478  1.82965883478  0.0  1.35983389949  1.35983389949  0.0
135.0  1.71074630432  1.71074630432  0.0  2.18107528039  2.18107528039  0.0  2.1647808788  2.1647808788  0.0  1.55829805062  1.55829805062  0.0
150.0  2.39452142311  2.39452142311  0.0  3.04618310287  3.04618310287  0.0  3.02302724741  3.02302724741  0.0  2.19267335862  2.19267335862  0.0
165.0  3.47044835958  3.47044835958  0.0  4.37489883082  4.37489883082  0.0  4.34427804921  4.34427804921  0.0  3.21454693912  3.21454693912  0.0
180.0  4.06666300309  4.06666300309  0.0  5.25817407356  5.25817407356  0.0  5.22174972357  5.22174972357  0.0  3.78074976958  3.78074976958  0.0
195.0  5.58372406658  5.58372406658  0.0  7.18542418693  7.18542418693  0.0  7.15105400034  7.15105400034  0.0  5.27063122021  5.27063122021  0.0
210.0  8.31744679157  8.31744679157  0.0  10.4844061112  10.4844061112  0.0  10.4654958134  10.4654958134  0.0  8.03114751839  8.03114751839  0.0
225.0  9.99129401966  9.99129401966  0.0  12.7318635943  12.7318635943  0.0  12.7568242755  12.7568242755  0.0  9.74146195338  9.74146195338  0.0
240.0  11.9622910234  11.9622910234  0.0  15.3546237206  15.3546237206  0.0  15.4481635628  15.4481635628  0.0  11.777249258  11.777249258  0.0
255.0  15.5123124547  15.5123124547  0.0  19.6994792635  19.6994792635  0.0  19.871231358  19.871231358  0.0  15.4898530167  15.4898530167  0.0
270.0  20.4986934238  20.4986934238  0.0  25.5793709052  25.5793709052  0.0  25.8228667786  25.8228667786  0.0  20.7539147378  20.7539147378  0.0
285.0  27.3134277376  27.3134277376  0.0  33.3664327844  33.3664327844  0.0  33.6553209656  33.6553209656  0.0  27.9977507201  27.9977507201  0.0
300.0  31.9467028  31.9467028  0.0  38.7168626208  38.7168626208  0.0  39.0127891458  39.0127891458  0.0  32.9461213309  32.9461213309  0.0
315.0  38.2488750084  38.2488750084  0.0  45.7263953226  45.7263953226  0.0  45.9933705771  45.9933705771  0.0  39.6997830149  39.6997830149  0.0
330.0  43.7646221939  43.7646221939  0.0  51.7575008028  51.7575008028  0.0  51.9744706266  51.9744706266  0.0  45.6399099262  45.6399099262  0.0
345.0  57.0863863866  57.0863863866  0.0  66.0169316678  66.0169316678  0.0  66.1751402685  66.1751402685  0.0  59.9970410293  59.9970410293  0.0
