# UGC 6787 = NGC 3898
# N08
# PA = deg
# Vsys = 1171.9 pm 2.5
# inclination = 69 deg (adopted by N08)
# reff   sig  ds
# "    minor
  1.2  221.4  2.0
  8.2  181.9  2.8
 12.7  158.9  2.4
 19.2  143.0  2.0
 34.7  149.8  2.6
 55.0  141.0  4.9
 71.1  160.0  7.1
 88.2  133.1  2.3
