# R,''		R
1.9562334217507669, 16.312997347480106
1.940318302387368, 16.79045092838196
2.9164456233422698, 17.506631299734746
4.899204244031978, 18.02387267904509
6.87400530503993, 18.779840848806366
8.85941644562348, 19.217506631299734
12.340848806366125, 19.774535809018566
17.822281167108827, 20.331564986737398
22.802387267904578, 20.92838196286472
31.29177718832898, 21.246684350132625
35.78249336870033, 21.52519893899204
44.27055702917778, 21.883289124668437
49.75994694960207, 22.20159151193634
54.75198938992037, 22.44031830238727
60.24137931034488, 22.758620689655174
65.73474801061013, 22.957559681697614
72.22811671087538, 23.156498673740053
78.22546419098148, 23.23607427055703
86.71352785145893, 23.594164456233422
96.20557029177712, 23.832891246684348
105.70026525198944, 23.992042440318304
117.68965517241395, 24.310344827586206
127.67108753315654, 24.867374005305038
138.66578249336885, 25.02652519893899
154.1485411140585, 25.54376657824934
167.62864721485425, 26.14058355437666
# R,''		B
0.8806366047746792, 18.580901856763926
2.3673740053051233, 18.978779840848805
5.352785145888674, 19.416445623342174
6.3368700265252755, 19.893899204244033
7.819628647214984, 20.411140583554378
10.301061007957628, 20.96816976127321
14.287798408488129, 21.366047745358088
17.26923076923083, 21.923076923076923
21.25596816976133, 22.320954907161806
29.248010610079632, 22.55968169761273
37.23872679045098, 22.838196286472147
44.22679045092843, 23.196286472148543
50.71750663129967, 23.47480106100796
57.198938992042486, 24.03183023872679
68.69496021220175, 24.151193633952253
79.68435013262615, 24.46949602122016
87.67904509283835, 24.628647214854112
95.661803713528, 25.145888594164454
105.6564986737402, 25.305039787798407
115.64190981432375, 25.74270557029178
129.6299734748011, 26.10079575596817
140.11273209549086, 26.618037135278513
153.09681697612746, 27.09549071618037
