# R,''  Vc
0.23032629558541196, 0.0009378106497592853
1.3819577735124753, 296.1015211288739
2.18809980806142, 283.8931020900673
3.570057581573895, 275.59816689278324
4.721689059500958, 273.16454825661003
5.873320537428022, 272.68532701457355
7.370441458733204, 283.93530356930734
8.291746641074855, 267.33042820434264
9.443378119001917, 269.2942037049773
10.479846449136275, 267.83684595522266
11.861804222648754, 274.19989121396463
12.783109404990402, 280.55918523010746
13.47408829174664, 274.70161991159574
14.740882917466411, 270.80314104046965
16.00767754318618, 285.4714374136433
17.619961612284065, 282.0643713230007
18.426103646833013, 285.9797307858228
19.577735124760075, 284.0347114981838
20.614203454894433, 264.0105785041295
21.88099808061421, 261.57789767860606
22.68714011516315, 275.75384346064635
23.723608445297504, 285.0456713786442
25.220729366602686, 289.4552570538991
27.52399232245681, 302.1775963287839
28.675623800383878, 285.57459658511885
29.82725527831094, 281.18658055480876
30.978886756238, 277.28716387303297
29.942418426103647, 269.46113400063774
31.900191938579656, 268.98847743314974
33.282149712092135, 279.7489168286995
35.355086372360844, 271.9482078438483
36.50671785028791, 297.36475207412457
40.53742802303263, 278.8308002025671
41.34357005758157, 280.3031629227182
42.49520153550864, 282.26693842335277
48.8291746641075, 308.21428348140324
49.75047984644914, 311.15338205780665
51.362763915547035, 312.14371010397196
49.75047984644914, 272.55403352360474
59.884836852207286, 269.70496476958
69.90403071017275, 264.90056081076864
84.59894639721415, 266.87401410756274
91.8872585493616, 265.91148546087686
99.90773534926632, 263.4801631000922
107.20200005952552, 260.0666686508527
118.14875442721507, 252.7405577546951
127.63117949938976, 248.35203428673472
138.5743623322121, 242.4965028721093
148.78895205214428, 236.6391856900503
162.63460222030415, 235.69272895026637
172.83966784725726, 233.75695705229325
180.11369385993623, 238.67674633173607
193.9402958421382, 245.5733801601238
205.59421411351525, 247.0725319205929
217.24932289651474, 248.0814905205512
227.4603410815797, 243.69475282002443
235.48200839310687, 240.77323729872913
245.6906455549272, 237.3668859192238
254.4444775142117, 232.97657668382988
261.7375517128485, 230.05327539510105
270.47828804428684, 231.05509092532515
276.303461412542, 232.53995654632578
291.621774457573, 225.22456025476947
299.63867972261073, 224.26381737551714
313.4843298907705, 223.3173606357332
320.04404893002754, 222.35304622161374
332.426560314295, 223.85398374951635
340.4434655793326, 222.89324087026398
358.6475787969878, 227.34962350069944
389.24253698026723, 229.87559153546235
