#Sigma LOS Maj (r, sig, dsig, gauss, sech, poly)
-79.3  18.3  8.1  16.118358017  17.3058559804  14.9806006622
-48.1  28.4  4.4  19.2089864895  17.9589456286  15.0342792725
-29.4  34.5  2.1  35.8924202112  33.0373514868  15.0877482261
-20.6  42.3  1.9  58.4486222525  58.4751423615  15.1409937673
-12.2  102.1  4.1  91.0340990048  92.229857245  15.1940023191
-5.2  112.6  3.0  115.321233477  114.534067387  15.2467604923
-1.8  121.0  2.6  120.720747892  119.352858322  15.2992550843
1.8  121.0  2.6  119.800518769  118.893529832  15.3514730902
5.2  112.6  3.0  112.870165204  113.275146015  15.4034017048
12.2  102.1  4.1  87.1395974095  89.9736025635  15.4550283257
20.6  42.3  1.9  55.3637322078  56.4035316451  15.5063405615
29.4  34.5  2.1  34.2281130286  31.9198516573  15.5573262337
48.1  28.4  4.4  18.9164150396  17.8847631301  15.6079733824
79.3  18.3  8.1  16.1058492551  17.3058373478  15.6582702685
