# r"    v km/s  dv km/s
#
  1.01  174.16	40.45
  2.18  163.96	35.62
  3.31  229.83	27.21
  4.51  276.37	11.28
  5.68  273.69	11.81
  6.75  265.81	15.93
  7.89  267.96	11.81
  9.06  277.63	11.81
 10.22  271.54	12.17
 11.36  261.69	11.46
 12.46  242.54	 8.59
 13.57  244.87	10.02
 14.80  228.22	 9.67
 15.94  261.34	 5.37
 18.21  233.59	 8.95
 19.31  217.12	18.62
 20.51  209.79	 3.76
 21.62  218.56	15.21
 29.85  219.27	 8.77
 36.48  253.46	 7.16
 37.62  230.01	 6.62
 39.86  227.15	 7.52
 39.95  229.47	 9.13
 40.96  245.58	 3.76
 42.16  230.91	 3.40
 43.33  235.20	 4.47
 44.40  239.14	 1.79
 45.73  236.28	 2.51
 49.86  226.79	 2.51
 52.51  231.98	 3.58
 53.68  236.46	 2.68
 54.75  232.70	 3.94
 55.76  224.28	 2.86
 57.02  227.68	 6.26
 58.19  231.09	 7.52
 59.83  229.65	 1.25
 62.67  235.56	13.42
 66.08  227.15	 6.98
 67.06  242.72	 2.68
 68.45  243.97	 2.33
 69.58  243.62	 3.58
 70.66  244.51	 5.73
 71.79  239.32	 3.40
 73.05  252.03	 9.67
 79.78  246.66	 0.72
 86.78  232.70	 9.13
 87.79  238.07	 7.52
 89.65  251.49	 0.72
 99.38  254.87	 1.25
109.75  248.24	 1.79
120.12  239.10	 3.22
129.57  224.60	 1.79
139.55  220.48	 3.58
149.39  220.30	 1.07
159.50  219.76	 0.54
169.08  222.81	 1.61
179.19  227.82	 2.15
189.17  233.01	 2.68
199.14  237.67	 3.04
208.86  242.33	 3.22
219.23  248.06	 3.94
228.94  246.27	 2.68
239.18  246.63	 2.15
248.77  250.21	 1.79
258.74  251.64	 1.61
268.85  249.31	 2.68
283.95  245.91	 3.04
298.91  246.45	 2.51
313.62  248.06	 2.86
328.71  251.64	 2.33
358.38  254.87	 3.76
