# UGC 6787 = NGC 3898
# N08
# PA =
# Vsys = 1171.9 pm 2.5
# inclination =  69 deg (adopted by N08)
#reff v    dv     reff sig   ds     reff sig    ds    reff sig   ds
#"                "    major        "    inter         "   minor
 1.2   9.3  3.1    1.2 221.4  2.0    1.2 221.4  2.0    1.2 221.4 2.0
 6.5 137.9  3.1    7.8 173.3  3.4    5.4 184.9  1.7    8.2 181.9 2.8
12.5 190.2  3.1   11.9 143.1  3.5   12.6 150.3  2.7   12.7 158.9 2.4
19.6 154.9  7.2   20.0 137.1  4.0   20.3 141.2  3.2   19.2 143.0 2.0
35.3 148.7  7.2   36.0 152.0  7.7   36.3 152.7  4.1   34.7 149.8 2.6
54.9 166.3  6.5   54.1 119.4  6.5   55.6 131.8  7.7   55.0 141.0 4.9
71.1 153.4  8.1   71.3 125.3  9.8   70.8 121.2  7.0   71.1 160.0 7.1
95.5 108.4 27.2                                       88.2 133.1 2.3
