# UGC 5253 = NGC 2985
# N08
# PA =
# inclination =  37 deg (adopted by N08)
# data are corrected for inclination
# reff  v    dv
# "
1.3  30.2  8.6
3.8  102.4  8.3
8.1   182.2  8.5
13.8   163.4  13.3
20.4   200.5   11.3
29.0   210.1   10.7
44.7   219.2   10.5
62.0   220.2   10.8
79.8   216.1   12.5
99.1   222.9   31.2
