#R h_z^s
15.0  36.5995520478
30.0  51.6837574938
45.0  70.3017273569
60.0  92.6900544914
75.0  127.275304127
90.0  173.190559755
105.0  231.472630036
120.0  309.905346086
135.0  403.354124578
150.0  502.885305776
165.0  604.714482239
180.0  695.816965244
195.0  746.246505817
210.0  765.309344837
225.0  827.377977972
240.0  952.682463066
255.0  1170.61455663
270.0  1453.61023635
285.0  1751.89228009
300.0  2177.93802546
315.0  2616.06812779
330.0  3055.02947728
345.0  4144.10597429
360.0  4884.58113314
