IC 499      1.44 17.41
IC 499      1.49 17.43
IC 499      1.53 17.44
IC 499      1.58 17.46
IC 499      1.62 17.47
IC 499      1.67 17.49
IC 499      1.72 17.51
IC 499      1.77 17.53
IC 499      1.83 17.55
IC 499      1.88 17.57
IC 499      1.94 17.60
IC 499      2.00 17.62
IC 499      2.06 17.64
IC 499      2.12 17.66
IC 499      2.18 17.69
IC 499      2.25 17.72
IC 499      2.31 17.75
IC 499      2.38 17.77
IC 499      2.46 17.80
IC 499      2.53 17.83
IC 499      2.60 17.86
IC 499      2.68 17.89
IC 499      2.76 17.93
IC 499      2.85 17.96
IC 499      2.93 17.99
IC 499      3.02 18.02
IC 499      3.11 18.06
IC 499      3.20 18.10
IC 499      3.30 18.14
IC 499      3.40 18.18
IC 499      3.50 18.21
IC 499      3.60 18.25
IC 499      3.71 18.29
IC 499      3.83 18.33
IC 499      3.94 18.38
IC 499      4.06 18.42
IC 499      4.18 18.46
IC 499      4.31 18.51
IC 499      4.44 18.55
IC 499      4.57 18.59
IC 499      4.70 18.64
IC 499      4.85 18.68
IC 499      4.99 18.73
IC 499      5.14 18.78
IC 499      5.30 18.82
IC 499      5.45 18.87
IC 499      5.62 18.92
IC 499      5.79 18.97
IC 499      5.96 19.02
IC 499      6.14 19.07
IC 499      6.32 19.12
IC 499      6.51 19.17
IC 499      6.71 19.22
IC 499      6.91 19.27
IC 499      7.12 19.32
IC 499      7.33 19.37
IC 499      7.55 19.42
IC 499      7.78 19.47
IC 499      8.01 19.52
IC 499      8.25 19.57
IC 499      8.50 19.62
IC 499      8.75 19.66
IC 499      9.02 19.71
IC 499      9.28 19.76
IC 499      9.57 19.81
IC 499      9.85 19.85
IC 499     10.15 19.90
IC 499     10.45 19.94
IC 499     10.76 19.99
IC 499     11.09 20.03
IC 499     11.42 20.08
IC 499     11.76 20.13
IC 499     12.11 20.17
IC 499     12.48 20.22
IC 499     12.85 20.28
IC 499     13.24 20.33
IC 499     13.64 20.38
IC 499     14.04 20.43
IC 499     14.47 20.48
IC 499     14.90 20.53
IC 499     15.35 20.58
IC 499     15.81 20.63
IC 499     16.28 20.68
IC 499     16.77 20.72
IC 499     17.27 20.77
IC 499     17.79 20.81
IC 499     18.33 20.86
IC 499     18.88 20.90
IC 499     19.44 20.95
IC 499     20.03 20.99
IC 499     20.63 21.04
IC 499     21.25 21.08
IC 499     21.88 21.13
IC 499     22.54 21.17
IC 499     23.22 21.22
IC 499     23.91 21.27
IC 499     24.63 21.31
IC 499     25.37 21.35
IC 499     26.13 21.40
IC 499     26.91 21.45
IC 499     27.72 21.51
IC 499     28.55 21.58
IC 499     29.41 21.64
IC 499     30.29 21.71
IC 499     31.20 21.77
IC 499     32.14 21.83
IC 499     33.10 21.88
IC 499     34.09 21.95
IC 499     35.12 22.00
IC 499     36.17 22.06
IC 499     37.25 22.12
IC 499     38.37 22.17
IC 499     39.52 22.22
IC 499     40.71 22.27
IC 499     41.93 22.32
IC 499     43.19 22.37
IC 499     44.48 22.43
IC 499     45.82 22.50
IC 499     47.19 22.60
IC 499     48.61 22.70
IC 499     50.07 22.81
IC 499     51.57 22.91
IC 499     53.12 23.02
IC 499     54.71 23.14
IC 499     56.35 23.28
IC 499     58.04 23.43
IC 499     59.78 23.58
IC 499     61.58 23.75
IC 499     63.42 23.93
IC 499     65.33 24.08
IC 499     67.29 24.24
IC 499     69.30 24.42
IC 499     71.38 24.59
IC 499     73.53 24.78
IC 499     75.73 24.95
IC 499     78.00 25.18
IC 499     80.34 25.31
IC 499     82.75 25.46
IC 499     85.24 25.65
IC 499     87.79 25.79
IC 499     90.43 25.96
IC 499     93.14 26.15
IC 499     95.93 26.30
IC 499     98.81 26.53
IC 499    101.78 26.73
IC 499    104.83 26.65
IC 499    107.97 26.61
IC 499    111.21 26.99
IC 499    114.55 27.01
IC 499    117.98 27.41
IC 499    121.52 27.05
IC 499    125.17 27.35
IC 499    128.92 27.33
IC 499    132.79 27.55
IC 499    136.78 27.51
IC 499    140.88 27.32
IC 499    145.11 28.26
IC 499    149.46 28.12
IC 499    153.94 28.13
IC 499    158.56 28.31
NGC 278     0.34 16.68
NGC 278     0.35 16.68
NGC 278     0.36 16.69
NGC 278     0.37 16.69
NGC 278     0.38 16.69
NGC 278     0.39 16.69
NGC 278     0.40 16.70
NGC 278     0.42 16.70
NGC 278     0.43 16.70
NGC 278     0.44 16.70
NGC 278     0.46 16.71
NGC 278     0.47 16.71
NGC 278     0.48 16.71
NGC 278     0.50 16.72
NGC 278     0.51 16.72
NGC 278     0.53 16.72
NGC 278     0.54 16.73
NGC 278     0.56 16.73
NGC 278     0.58 16.74
NGC 278     0.60 16.74
NGC 278     0.61 16.75
NGC 278     0.63 16.75
NGC 278     0.65 16.76
NGC 278     0.67 16.77
NGC 278     0.69 16.77
NGC 278     0.71 16.78
NGC 278     0.73 16.78
NGC 278     0.75 16.79
NGC 278     0.77 16.80
NGC 278     0.80 16.81
NGC 278     0.82 16.81
NGC 278     0.85 16.82
NGC 278     0.87 16.83
NGC 278     0.90 16.84
NGC 278     0.93 16.85
NGC 278     0.95 16.86
NGC 278     0.98 16.87
NGC 278     1.01 16.89
NGC 278     1.04 16.90
NGC 278     1.07 16.91
NGC 278     1.11 16.92
NGC 278     1.14 16.94
NGC 278     1.17 16.95
NGC 278     1.21 16.97
NGC 278     1.24 16.98
NGC 278     1.28 17.00
NGC 278     1.32 17.01
NGC 278     1.36 17.03
NGC 278     1.40 17.05
NGC 278     1.44 17.07
NGC 278     1.49 17.09
NGC 278     1.53 17.10
NGC 278     1.58 17.12
NGC 278     1.62 17.14
NGC 278     1.67 17.16
NGC 278     1.72 17.19
NGC 278     1.77 17.21
NGC 278     1.83 17.23
NGC 278     1.88 17.25
NGC 278     1.94 17.27
NGC 278     2.00 17.30
NGC 278     2.06 17.32
NGC 278     2.12 17.35
NGC 278     2.18 17.37
NGC 278     2.25 17.40
NGC 278     2.31 17.42
NGC 278     2.38 17.45
NGC 278     2.46 17.48
NGC 278     2.53 17.50
NGC 278     2.60 17.53
NGC 278     2.68 17.56
NGC 278     2.76 17.58
NGC 278     2.85 17.61
NGC 278     2.93 17.64
NGC 278     3.02 17.67
NGC 278     3.11 17.70
NGC 278     3.20 17.72
NGC 278     3.30 17.75
NGC 278     3.40 17.78
NGC 278     3.50 17.81
NGC 278     3.60 17.83
