#Sigma LOS Maj (r, sig, dsig, gauss, sech, poly)
-95.5  133.6  14.4  115.149925147  115.724480467  112.877653486
-71.1  125.2  9.8  123.823801159  126.894201045  112.916099428
-54.9  119.7  6.7  134.198743056  137.884292424  112.954557913
-35.3  151.3  7.5  150.697939314  151.340450768  112.993027561
-19.6  137.4  4.0  161.393289943  158.089160727  113.031506991
-12.5  142.7  3.5  163.443990108  159.097214005  113.069994825
-6.5  182.8  3.1  163.367483035  158.824684572  113.108489684
-1.2  221.4  2.0  161.915977716  157.737503614  113.146990194
1.2  221.4  2.0  160.865088819  156.997096973  113.185494979
6.5  182.8  3.1  157.800702218  154.860327409  113.224002668
12.5  142.7  3.5  153.378753971  151.716142863  113.262511891
19.6  137.4  4.0  147.403173767  147.240499714  113.301021279
35.3  151.3  7.5  134.24386146  136.04154831  113.339529469
54.9  119.7  6.7  122.187302363  123.478426509  113.378035099
71.1  125.2  9.8  116.345875706  116.442154312  113.416536809
95.5  133.6  14.4  112.057049047  111.297515566  113.455033243
