# UGC 6787 = NGC 3898
# N08
# PA = deg
# Vsys = 1171.9 pm 2.5
# inclination = 69 deg (adopted by N08)
# reff   sig  ds
# "    major
  1.2  221.4  2.0
  7.8  173.3  3.4
 11.9  143.1  3.5
 20.0  137.1  4.0
 36.0  152.0  7.7
 54.1  119.4  6.5
 71.3  125.3  9.8
