#R h_z^s
15.0  17.1144783409
30.0  25.0396378679
45.0  34.637487047
60.0  46.0294263282
75.0  63.4364397885
90.0  86.4684019496
105.0  115.644932885
120.0  154.910709373
135.0  201.699815041
150.0  251.553291462
165.0  302.582096645
180.0  348.269454125
195.0  373.618528408
210.0  383.272876773
225.0  414.476288359
240.0  477.384634219
255.0  586.757518701
270.0  728.814779012
285.0  878.619914313
300.0  1092.60605437
315.0  1312.77886089
330.0  1533.49501783
345.0  2080.76127224
360.0  2453.2576948
