# R, pc     V_rot
50.57388809182214, 73.87140902872778
69.1251543158387, 84.47332421340633
96.68929965633453, 89.60328317373464
114.72339928597648, 79.00136798905609
143.38026759200562, 128.93296853625174
163.04928097160587, 185.36251709986323
178.65186346801914, 200.06839945280439
196.8527910313303, 196.30642954856364
221.1929865536685, 194.2544459644323
248.3984518367755, 184.67852257181943
269.84835340829477, 189.12448700410397
288.1493777318075, 189.4664842681259
309.4074271796069, 186.046511627907
327.8085482633211, 190.49247606019154
343.0190851156118, 189.12448700410397
370.52484067932335, 191.8604651162791
391.89132828400784, 192.88645690834477
407.2520102766007, 197.67441860465118
434.74942444362887, 200.06839945280439
453.13386273397623, 203.83036935704516
471.5516666110574, 208.96032831737347
489.9527876947717, 213.406292749658
499.0991291581862, 213.406292749658
547.60435087251, 202.12038303693572
565.9137165927061, 202.8043775649795
587.2968869907577, 204.51436388508893
593.6113242801374, 213.406292749658
624.3076640752728, 221.95622435020522
645.8576624069934, 230.5061559507524
664.3505388542258, 238.7140902872777
685.8338060124788, 244.52804377564982
704.3600480464448, 254.10396716826267
747.0012678922958, 252.39398084815323
777.2221480764738, 241.45006839945282
795.4480998298357, 238.7140902872777
822.8454172366619, 237.00410396716828
862.5129291648593, 238.37209302325584
889.9602949517869, 238.7140902872777
917.4076607387142, 239.0560875512996
923.4134663508055, 235.29411764705884
956.9000033365587, 233.2421340629275
987.3127356444563, 230.16415868673053
1011.6529311667944, 228.1121751025992
1048.2049314337194, 226.74418604651163
1057.2511761369321, 222.640218878249
1075.4521037002437, 218.87824897400822
1096.710153148043, 215.45827633378934
1111.9957625704849, 217.16826265389878
1154.536885656134, 211.3543091655267
1163.7499582930166, 214.0902872777018
1197.2698608655035, 213.406292749658
1218.6697140569217, 215.80027359781124
1245.933569116813, 208.6183310533516
1276.4630809782789, 210.32831737346103
1294.8391778719429, 213.7482900136799
1316.289079443462, 218.19425444596445
1328.6260051383003, 224.00820793433655
1356.115077908645, 226.06019151846786
1377.4815655133293, 227.08618331053353
1408.0611257548965, 230.8481532147743
1450.7774181708985, 232.21614227086184
1478.2081011644589, 231.87414500683997
1496.442394314504, 229.48016415868676
1545.331320276267, 233.9261285909713
1578.9179540222212, 235.9781121751026
1597.202295552367, 235.63611491108074
1621.5675152647557, 234.61012311901507
1627.6066864635814, 232.21614227086184
1645.832638216943, 229.48016415868676
1658.0110773747956, 228.79616963064296
1676.2620533182073, 227.08618331053353
1685.4000533849387, 226.74418604651163
1712.8390777751827, 226.74418604651163
1746.3840045377199, 227.08618331053353
1761.627906976744, 227.08618331053353
1770.649127489907, 221.95622435020522
1804.1523472690264, 220.58823529411765
1822.445030195856, 220.58823529411765
1856.0316639418106, 222.640218878249
1877.3898101498112, 223.32421340629276
1898.7562977544958, 224.35020519835842
1923.1799072436688, 225.718194254446
1938.4071268893263, 225.0341997264022
1959.7152247172266, 223.66621067031465
2026.8217610356678, 225.0341997264022
1999.3743952487403, 224.69220246238032
2027.0052717627036, 232.55813953488374
2072.8621000300286, 237.68809849521205
2048.6637082513093, 245.55403556771546
2087.44703213106, 210.67031463748293
