# R, arcsec     mu_I
-311.3597246127366, 22.36036036036036
-303.0981067125645, 22.384384384384383
-298.96729776247844, 22.24024024024024
-293.80378657487086, 22.19219219219219
-288.64027538726333, 22.048048048048045
-283.47676419965575, 21.855855855855854
-281.4113597246127, 21.663663663663662
-281.4113597246127, 21.471471471471467
-275.21514629948365, 21.807807807807805
-269.0189328743545, 21.807807807807805
-259.7246127366609, 21.663663663663662
-250.4302925989673, 21.543543543543542
-239.07056798623063, 21.471471471471467
-229.77624784853697, 21.327327327327325
-214.28571428571428, 21.255255255255253
-201.8932874354561, 21.207207207207205
-194.6643717728055, 20.990990990990987
-188.46815834767642, 20.726726726726724
-177.10843373493975, 20.67867867867868
-166.7814113597246, 20.726726726726724
-156.45438898450942, 20.63063063063063
-146.1273666092943, 20.486486486486484
-132.70223752151463, 20.366366366366364
-121.34251290877802, 20.22222222222222
-107.91738382099828, 20.150150150150147
-100.68846815834769, 20.07807807807808
-90.36144578313252, 19.909909909909906
-84.16523235800344, 19.717717717717715
-76.93631669535284, 19.5015015015015
-66.60929432013768, 19.405405405405403
-56.28227194492251, 19.26126126126126
-48.020654044750415, 19.02102102102102
-39.759036144578374, 18.73273273273273
-31.49741824440622, 18.588588588588586
-22.203098106712616, 18.37237237237237
-20.13769363166955, 18.084084084084083
-18.07228915662654, 17.867867867867865
-13.941480206540461, 17.603603603603602
-11.876075731497394, 17.315315315315313
-7.745266781411374, 16.954954954954953
-5.6798623063683635, 16.52252252252252
-3.6144578313253533, 16.13813813813814
-1.549053356282343, 15.921921921921921
-0.516351118760781, 15.825825825825824
3.6144578313253533, 16.01801801801802
3.6144578313253533, 16.306306306306304
4.6471600688468016, 16.52252252252252
5.6798623063683635, 16.81081081081081
8.777969018932822, 17.05105105105105
11.876075731497394, 17.21921921921922
11.876075731497394, 17.483483483483482
14.974182444061967, 17.77177177177177
20.13769363166955, 18.01201201201201
22.20309810671256, 18.204204204204203
29.432013769363152, 18.42042042042042
37.69363166953531, 18.636636636636634
40.791738382099766, 18.9009009009009
52.15146299483649, 19.093093093093092
58.347676419965524, 19.237237237237235
64.54388984509467, 19.38138138138138
72.80550774526671, 19.477477477477475
80.03442340791742, 19.5975975975976
84.16523235800344, 19.765765765765764
96.55765920826161, 19.909909909909906
102.75387263339064, 20.1021021021021
113.08089500860581, 20.126126126126124
125.47332185886398, 20.246246246246244
137.86574870912216, 20.34234234234234
143.02925989672974, 20.414414414414413
153.3562822719448, 20.46246246246246
165.74870912220308, 20.51051051051051
171.9449225473321, 20.606606606606604
179.1738382099827, 20.822822822822822
184.3373493975903, 20.894894894894893
191.56626506024088, 21.015015015015013
196.72977624784858, 21.135135135135133
204.99139414802062, 21.255255255255253
212.2203098106712, 21.327327327327325
220.48192771084337, 21.423423423423422
228.7435456110154, 21.59159159159159
235.972461273666, 21.735735735735734
240.10327022375213, 21.903903903903903
251.46299483648875, 22.096096096096097
262.82271944922536, 22.19219219219219
272.11703958691896, 22.24024024024024
277.28055077452655, 22.384384384384383
280.37865748709123, 22.312312312312308
285.5421686746988, 22.528528528528525
292.7710843373494, 22.384384384384383
301.03270223752145, 22.384384384384383
307.2289156626505, 22.48048048048048
