# R/R25      V_rot, km/s
0.05483505429085023, 88.66995073891627
0.08523981501768074, 129.06403940886702
0.17308992562542258, 167.48768472906409
0.10983030722802156, 172.08538587848938
0.20422029198559155, 182.59441707717576
0.13697926605461364, 225.94417077175703
0.22931965048424763, 207.88177339901483
0.2550880739175403, 209.85221674876854
0.28082822700148213, 212.80788177339906
0.31523324216145676, 213.79310344827593
0.34125609873890683, 206.896551724138
0.37015781922525126, 199.67159277504112
0.4075170858923891, 197.7011494252874
0.43918458889022394, 194.08866995073896
0.43360590661832443, 188.50574712643683
0.4623662753579143, 186.20689655172418
0.4881629691405578, 187.19211822660105
0.5171871944740891, 175.6978653530378
0.5545747314905778, 172.74220032840728
0.5745854271060822, 175.36945812807886
0.611897576524302, 175.04105090311992
0.6463120151340604, 175.6978653530378
0.669050799461921, 183.25123152709364
0.7006523383112706, 181.93760262725786
0.7293184725530246, 182.9228243021347
0.763638676664947, 186.8637110016421
0.7864716954906439, 191.1330049261084
0.8150153248852108, 196.3875205254516
0.8435872246291287, 200.65681444991796
0.875113375880209, 201.97044334975377
0.9094995441406168, 203.61247947454848
0.9381751018321542, 204.26929392446638
0.9725801169921291, 205.25451559934325
0.9926379298565515, 206.2397372742201
1.024145234208065, 208.21018062397377
1.0556148447604443, 211.49425287356328
1.0843375197009, 210.50903119868644
1.1244908392288793, 211.16584564860432
1.1531946672697677, 210.83743842364538
1.1819361891097906, 209.19540229885064
1.2164260153178177, 207.22495894909693
1.2480652479663015, 204.59770114942535
