# R, arcsec  V  dV  sig  dsig 
 7.8 70.0 10.0 107.0 14.0
 -3.7 -55.0 7.0 101.0 16.0
 5.5 52.0 8.0 99.0 13.0
 9.0 66.0 11.0 99.0 21.0
 0.9 15.0 7.0 119.0 10.0
 2.1 33.0 9.0 114.0 9.0
 -56.6 -112.0 15.0 102.0 29.0
 -0.2 -3.0 7.0 115.0 10.0
 -47.4 -93.0 17.0 95.0 26.0
 -52.0 -107.0 17.0 79.0 28.0
 -19.8 -53.0 12.0 111.0 15.0
 -33.6 -79.0 19.0 109.0 16.0
 -42.8 -92.0 16.0 105.0 35.0
 -24.4 -62.0 13.0 120.0 19.0
 -29.0 -69.0 15.0 95.0 18.0
 52.7 110.0 20.0 77.0 35.0
 58.4 124.0 16.0 59.0 46.0
 -11.7 -48.0 12.0 116.0 15.0
 -16.3 -61.0 10.0 110.0 14.0
 -14.0 -59.0 14.0 132.0 14.0
 -38.2 -63.0 16.0 123.0 21.0
 14.7 55.0 10.0 115.0 15.0
 48.1 115.0 20.0 102.0 44.0
 -4.8 -48.0 8.0 111.0 13.0
 -8.3 -49.0 12.0 127.0 16.0
 4.4 56.0 7.0 110.0 11.0
 -7.1 -68.0 10.0 112.0 15.0
 -9.4 -55.0 11.0 128.0 18.0
 3.2 50.0 10.0 118.0 8.0
 10.1 65.0 10.0 126.0 22.0
 43.5 85.0 18.0 71.0 22.0
 12.4 68.0 9.0 118.0 15.0
 6.7 66.0 9.0 113.0 14.0
 -6.0 -61.0 9.0 131.0 18.0
 -1.4 -27.0 9.0 119.0 10.0
 -2.5 -40.0 8.0 113.0 9.0
 17.0 61.0 10.0 129.0 17.0
 38.9 94.0 17.0 90.0 22.0
 29.7 79.0 13.0 90.0 23.0
 20.5 60.0 10.0 116.0 14.0
 25.1 75.0 13.0 84.0 29.0
 34.3 81.0 13.0 85.0 21.0
