# R,''  Vc
0.4528301886792452, 0.005728402133854615
1.4716981132075464, 159.80380222691633
2.716981132075471, 169.322974472808
3.849056603773585, 184.15237549675987
4.981132075471697, 200.12029644481044
9.169811320754715, 182.0099530987075
10.415094339622641, 172.1742866349218
11.433962264150942, 153.2247323762128
26.264150943396228, 190.7915935698686
27.735849056603772, 207.52712040385234
28.64150943396226, 210.96559378468368
29.660377358490567, 208.33482510472237
31.358490566037734, 216.726934230783
32.83018867924528, 212.9691024309907
34.18867924528301, 213.00347284379365
35.32075471698113, 213.79112813719524
36.90566037735849, 218.76481328989297
38.15094339622641, 217.65779957753034
39.849056603773576, 221.49582900719633
40.98113207547169, 220.00644445240056
37.811320754716974, 213.47463391930114
42, 215.47814256560815
43.698113207547166, 210.2080126024847
45.73584905660377, 220.88575417994343
46.30188679245282, 220.52056854391182
47.77358490566037, 230.80448247466973
49.47169811320755, 217.5647130428556
49.924528301886795, 213.40159679209484
59.77358490566037, 223.89746160180448
75.39803453588888, 224.71633700329303
87.29871688080755, 237.21520407766906
86.40014501447985, 243.6407266261259
84.13256740367967, 250.4417330956707
90.47263499078548, 227.39133624800928
105.99867933241546, 227.79875788192538
120.15226520386182, 227.06936957544417
133.84577537429698, 224.82682422604995
149.8318954169381, 226.74740290287912
165.35707657714033, 226.77675107142392
178.5939637722754, 224.5333425406019
195.0116745288109, 215.4906539030906
210.0767799880017, 214.00684502872235
225.15914907574847, 220.08450546178045
240.20612772495576, 210.66115381461447
