# R, kpc        1/Q
0.10782450632073903, 0.0879120879120876
1.1798727588201245, 0.07692307692307665
2.3070726266214976, 0.0879120879120876
3.489424109724858, 0.12087912087912134
4.613525572172193, 0.18681318681318615
5.738866396761139, 0.23076923076923084
6.923696604147736, 0.219780219780219
7.936875154920273, 0.25274725274725274
9.059737255225983, 0.34065934065934034
10.298479715772949, 0.3736263736263732
11.37362637362638, 0.3076923076923075
12.558456581012969, 0.29670329670329654
13.629265471370736, 0.3076923076923075
14.812856316615722, 0.31868131868131844
15.938197141204661, 0.36263736263736224
17.06725605221846, 0.34065934065934034
18.19693464430307, 0.3076923076923075
19.327232917458474, 0.2637362637362628
20.512063124845085, 0.25274725274725274
21.585350739486074, 0.219780219780219
22.829050648599534, 0.16483516483516514
23.902338263240523, 0.1318681318681314
25.032636536395927, 0.0879120879120876
26.219325786994958, 0.0439560439560438
27.34714533586714, 0.0439560439560438
