# R,''		R
2.236282317006726, 15.32766990291262
2.7858077888076878, 15.65533980582524
3.3353332606087633, 15.983009708737862
3.3257881531581006, 16.2378640776699
4.997545543798537, 16.601941747572813
6.659757826988084, 17.220873786407765
7.7615359441475675, 17.803398058252426
11.117323006436095, 18.20388349514563
12.790443983855084, 18.53155339805825
12.774080942511205, 18.968446601941746
16.691665757608803, 19.36893203883495
20.05972510090544, 19.441747572815533
23.978673502781703, 19.805825242718445
30.702519908367094, 20.27912621359223
34.62283189702191, 20.606796116504853
40.22717355732516, 20.970873786407765
43.597960074179014, 20.970873786407765
49.206392494818374, 21.225728155339805
55.93842042107565, 21.480582524271846
62.671811934111474, 21.69902912621359
69.40247627358997, 21.99029126213592
76.13450419984724, 22.24514563106796
83.99012763172254, 22.5
95.76879022580988, 23.009708737864077
104.7520999236391, 23.155339805825243
115.40989418566608, 23.592233009708735
126.07450638158616, 23.847087378640776
138.97949165484886, 24.283980582524272
153.00670884695103, 24.75728155339806
168.71250136358674, 25.4126213592233
184.4169302934439, 26.104368932038835
# R,''		B
0.4963455874332112, 16.78398058252427
1.6049416384859114, 17.184466019417474
2.151739936729655, 17.584951456310677
3.8166793934766474, 18.131067961165048
6.043416603032597, 18.677184466019416
6.031144322024716, 19.004854368932037
9.94327479000765, 19.550970873786405
11.054598014617568, 19.87864077669903
13.841769390204036, 20.461165048543688
18.329333478782587, 20.643203883495147
21.12332278826227, 21.043689320388346
26.164503108977897, 21.44417475728155
31.766117595723813, 21.881067961165044
38.49950910875964, 22.099514563106794
42.426639031308014, 22.24514563106796
49.158666957565174, 22.5
55.89069488382245, 22.754854368932037
62.05819788371332, 23.082524271844658
71.03741682120642, 23.3373786407767
78.3298789134941, 23.62864077669903
88.43542053016256, 23.810679611650485
95.16608486964117, 24.101941747572816
104.14530380713427, 24.356796116504853
115.93487509545105, 24.575242718446603
126.59539653103525, 24.939320388349515
138.94403839860365, 25.230582524271846
152.97261917748438, 25.66747572815534
168.1302498090979, 25.95873786407767
184.9650921784662, 26.46844660194175
202.93034798734584, 26.796116504854368
223.13324970001088, 27.37864077669903

