# R, kpc       r/g (mag/"2)
1.4408866995073892, 17.729497536945814
1.7733990147783252, 18.40185221674877
2.105911330049261, 18.850206896551725
2.5123152709359604, 19.23464039408867
2.9556650246305423, 19.55511330049261
3.288177339901478, 19.811467980295568
3.6206896551724133, 19.93982266009852
4.027093596059114, 20.16425615763547
4.470443349753696, 20.38872906403941
4.80295566502463, 20.645083743842363
5.172413793103448, 20.837477832512313
5.61576354679803, 20.933950738916256
5.874384236453203, 20.96622660098522
6.317733990147783, 20.966699507389162
6.798029556650247, 21.255211822660097
7.204433497536947, 21.351645320197044
7.536945812807881, 21.448
7.943349753694582, 21.544433497536946
8.3128078817734, 21.576827586206896
8.571428571428571, 21.609103448275864
9.014778325123153, 21.769576354679803
9.56896551724138, 21.96216748768473
9.901477832512315, 21.962522167487684
10.307881773399016, 22.09095566502463
10.640394088669952, 22.219310344827587
10.972906403940888, 22.251665024630544
11.342364532019705, 22.380059113300494
11.822660098522167, 22.38057142857143
12.229064039408867, 22.509004926108375
12.52463054187192, 22.637320197044335
12.85714285714286, 22.669674876847292
13.300492610837438, 22.67014778325123
13.706896551724139, 22.766581280788177
14.039408866995075, 22.830935960591134
14.408866995073893, 22.767330049261084
14.852216748768473, 22.863802955665026
15.295566502463053, 22.89627586206897
15.554187192118224, 22.928551724137932
15.923645320197043, 23.056945812807882
16.366995073891626, 23.025418719211824
16.736453201970445, 23.153812807881774
17.06896551724138, 23.18616748768473
17.549261083743843, 23.346679802955666
17.844827586206897, 23.314995073891627
18.288177339901477, 23.44346798029557
18.694581280788178, 23.443901477832515
18.95320197044335, 23.47617733990148
19.433497536945815, 23.57268965517241
19.766009852216747, 23.50904433497537
20.20935960591133, 23.477517241379314
20.578817733990146, 23.541911330049263
20.948275862068964, 23.606305418719213
21.35467980295567, 23.798738916256156
21.761083743842367, 23.671172413793105
22.167487684729064, 23.83160591133005
22.573891625615765, 23.800039408866994
22.86945812807882, 23.928354679802958
23.275862068965516, 23.8647881773399
23.645320197044335, 23.929182266009853
1.366995073891626, 18.561418719211822
1.7364532019704435, 19.233812807881772
2.105911330049261, 19.778206896551723
2.549261083743842, 20.034679802955665
2.8078817733990147, 20.48295566502463
3.288177339901478, 20.643467980295565
3.6945812807881766, 20.67590147783251
4.027093596059114, 21.028256157635468
4.433497536945813, 21.188689655172414
4.80295566502463, 21.413083743842364
5.209359605911329, 21.57351724137931
5.541871921182267, 21.701871921182267
5.948275862068966, 21.606305418719213
6.391625615763546, 21.734778325123152
6.761083743842365, 21.959172413793105
7.167487684729066, 22.05560591133005
7.5, 22.151960591133005
7.906403940886699, 22.28039408866995
8.275862068965518, 22.280788177339904
8.645320197044335, 22.345182266009854
9.088669950738918, 22.473655172413793
9.421182266009854, 22.60200985221675
9.864532019704434, 22.634482758620692
10.197044334975368, 22.666837438423645
10.566502463054187, 22.8912315270936
10.935960591133005, 22.923625615763548
11.379310344827587, 22.98809852216749
11.711822660098523, 23.052453201970444
12.118226600985222, 23.18088669950739
12.450738916256158, 23.245241379310347
12.894088669950738, 23.341714285714286
13.300492610837438, 23.27814778325123
13.669950738916256, 23.470541871921185
14.076354679802957, 23.47097536945813
14.445812807881776, 23.47136945812808
14.852216748768473, 23.471802955665027
15.25862068965517, 23.536236453201973
15.591133004926107, 23.53659113300493
15.997536945812808, 23.697024630541872
16.366995073891626, 23.729418719211825
16.736453201970445, 23.85781280788177
17.179802955665025, 23.890285714285717
17.586206896551726, 23.922719211822663
17.95566502463054, 23.95511330049261
18.32512315270936, 24.083507389162563
18.694581280788178, 24.115901477832512
19.064039408866996, 24.148295566502465
19.322660098522167, 24.180571428571426
19.80295566502463, 24.149083743842368
20.135467980295566, 24.08543842364532
